datetime,price_IDC
2019-01-02 10:00:00,46.0
2019-01-02 10:15:00,45.654
2019-01-02 10:30:00,44.63
2019-01-02 10:45:00,42.966
2019-01-02 11:00:00,40.728
2019-01-02 11:15:00,38.0
2019-01-02 11:30:00,34.888
2019-01-02 11:45:00,31.512
2019-01-02 12:00:00,28.0
2019-01-02 12:15:00,24.488
2019-01-02 12:30:00,21.112
2019-01-02 12:45:00,18.0
2019-01-02 13:00:00,15.272
2019-01-02 13:15:00,13.034
2019-01-02 13:30:00,11.37
2019-01-02 13:45:00,10.346
2019-01-02 14:00:00,10.0
2019-01-02 14:15:00,10.346
2019-01-02 14:30:00,11.37
2019-01-02 14:45:00,13.034
2019-01-02 15:00:00,15.272
2019-01-02 15:15:00,18.0
2019-01-02 15:30:00,21.112
2019-01-02 15:45:00,24.488
2019-01-02 16:00:00,28.0
2019-01-02 16:15:00,31.512
2019-01-02 16:30:00,34.888
2019-01-02 16:45:00,38.0
2019-01-02 17:00:00,40.728
2019-01-02 17:15:00,42.966
2019-01-02 17:30:00,44.63
2019-01-02 17:45:00,45.654
2019-01-02 18:00:00,46.0
2019-01-02 18:15:00,45.654
2019-01-02 18:30:00,44.63
2019-01-02 18:45:00,42.966
2019-01-02 19:00:00,40.728
2019-01-02 19:15:00,38.0
2019-01-02 19:30:00,34.888
2019-01-02 19:45:00,31.512
2019-01-02 20:00:00,28.0
2019-01-02 20:15:00,24.488
2019-01-02 20:30:00,21.112
2019-01-02 20:45:00,18.0
2019-01-02 21:00:00,15.272
2019-01-02 21:15:00,13.034
2019-01-02 21:30:00,11.37
2019-01-02 21:45:00,10.346
2019-01-02 22:00:00,10.0
2019-01-02 22:15:00,10.346
2019-01-02 22:30:00,11.37
2019-01-02 22:45:00,13.034
2019-01-02 23:00:00,15.272
2019-01-02 23:15:00,18.0
2019-01-02 23:30:00,21.112
2019-01-02 23:45:00,24.488
2019-01-03 00:00:00,28.0
