name,node,technology,fuel_type,max_power,bidding_EOM,bidding_redispatch,bidding_nodal,bidding_DAM,unit_operator,emission_factor,min_power,efficiency,additional_cost,operating_type,ramp_up,ramp_down,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time
Unit_17,550,open cycle gas turbine,natural gas,164.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,49.2,0.373041282,1.6,Market,164.0,164.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_18,550,open cycle gas turbine,natural gas,164.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.2052,49.2,0.373041282,1.6,Market,164.0,164.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_19,648,hard coal,hard coal,89.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.3384,38.27,0.40791401,3.3,Market,89.0,89.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_20,639,hard coal,hard coal,282.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.3384,121.26,0.401328561,3.3,Market,282.0,282.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_21,639,hard coal,hard coal,282.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Vattenfall Wärme Berlin AG,0.3384,121.26,0.40352371,3.3,Market,282.0,282.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_22,770,combined cycle gas turbine,natural gas,108.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,envia THERM GmbH,0.2052,37.8,0.544796527,1.6,Market,108.0,108.0,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_23,237,lignite,lignite,500.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lausitz Energie Kraftwerke AG,0.3636,215.0,0.356570393,3.3,Market,300.0,300.0,66.17157947,99.12699338,128.3131589,11.0,11.0
Unit_24,237,lignite,lignite,500.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lausitz Energie Kraftwerke AG,0.3636,215.0,0.358872003,3.3,Market,450.0,450.0,59.17157947,79.55699338,115.7831589,9.0,9.0
Unit_25,237,lignite,lignite,840.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lausitz Energie Kraftwerke AG,0.3636,361.2,0.4049042,3.3,Market,840.0,840.0,48.17157947,71.72699338,91.51315894,8.0,8.0
Unit_26,237,lignite,lignite,630.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lausitz Energie Kraftwerke AG,0.3636,270.9,0.432523517,3.3,Market,630.0,630.0,48.17157947,71.72699338,91.51315894,8.0,8.0
Unit_27,608,gas steam turbine,natural gas,56.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Uniper Kraftwerke GmbH,0.2052,19.6,0.378660003,1.1,Market,56.0,56.0,79.91328584,155.0912128,180.6799689,5.0,5.0
Unit_28,608,combined cycle gas turbine,natural gas,60.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Uniper Kraftwerke GmbH,0.2052,21.0,0.519561547,1.6,Market,60.0,60.0,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_29,608,combined cycle gas turbine,natural gas,60.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Uniper Kraftwerke GmbH,0.2052,21.0,0.519561547,1.6,Market,60.0,60.0,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_30,425,open cycle gas turbine,natural gas,68.41,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Braunschweiger Versorgungs-AG & Co. KG,0.2052,20.523,0.436780845,1.6,Market,68.41,68.41,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_31,425,combined cycle gas turbine,natural gas,98.1,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Braunschweiger Versorgungs-AG & Co. KG,0.2052,34.335,0.641530616,1.6,Market,98.1,98.1,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_32,385,gas engine,natural gas,105.978,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,swb Erzeugung AG & Co. KG,0.2052,31.7934,0.4742,1.6,Market,105.978,105.978,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_33,385,hard coal,hard coal,119.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,swb Erzeugung AG & Co. KG,0.3384,51.17,0.40571886,3.3,Market,119.0,119.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_34,643,oil,oil,86.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,swb Erzeugung AG & Co. KG,0.2808,30.1,0.315,1.1,Market,86.0,86.0,28.32173763,40.32173763,44.88260644,1.0,1.0
Unit_35,747,open cycle gas turbine,natural gas,137.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Wacker Chemie AG,0.2052,41.1,0.382847369,1.6,Market,137.0,137.0,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_36,180,gas engine,natural gas,53.481,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Cottbus GmbH,0.2052,16.0443,0.4728,1.6,Market,53.481,53.481,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_37,504,hard coal,hard coal,1052.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Uniper Kraftwerke GmbH,0.3384,452.36,0.4737685,3.3,Market,1052.0,1052.0,91.8685572,146.6360981,178.9071144,5.0,5.0
Unit_38,652,gas steam turbine,natural gas,194.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Generation SE,0.2052,67.9,0.385200291,1.1,Market,194.0,194.0,74.91328584,132.3812128,169.7199689,5.0,5.0
Unit_39,652,open cycle gas turbine,natural gas,184.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Generation SE,0.2052,55.2,0.380395847,1.6,Market,184.0,184.0,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_40,652,open cycle gas turbine,natural gas,184.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Generation SE,0.2052,55.2,0.380395847,1.6,Market,184.0,184.0,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_41,296,combined cycle gas turbine,natural gas,58.681,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Nordland Papier GmbH,0.2052,20.53835,0.637324786,1.6,Market,58.681,58.681,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_42,766,gas steam turbine,natural gas,74.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,DREWAG - Stadtwerke Dresden GmbH,0.2052,25.9,0.379750051,1.1,Market,74.0,74.0,79.91328584,155.0912128,180.6799689,5.0,5.0
Unit_43,766,combined cycle gas turbine,natural gas,62.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,DREWAG - Stadtwerke Dresden GmbH,0.2052,21.7,0.523767377,1.6,Market,62.0,62.0,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_44,766,combined cycle gas turbine,natural gas,62.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,DREWAG - Stadtwerke Dresden GmbH,0.2052,21.7,0.523767377,1.6,Market,62.0,62.0,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_45,766,combined cycle gas turbine,natural gas,62.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,DREWAG - Stadtwerke Dresden GmbH,0.2052,21.7,0.523767377,1.6,Market,62.0,62.0,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_46,753,open cycle gas turbine,natural gas,75.2,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Duisburg AG,0.2052,22.56,0.390201934,1.6,Market,75.2,75.2,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_47,753,open cycle gas turbine,natural gas,75.2,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Duisburg AG,0.2052,22.56,0.390201934,1.6,Market,75.2,75.2,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_48,753,gas steam turbine,natural gas,84.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Duisburg AG,0.2052,29.4,0.390650532,1.1,Market,84.0,84.0,74.91328584,132.3812128,169.7199689,5.0,5.0
Unit_49,435,hard coal,hard coal,725.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,STEAG Walsum 10 Kraftwerksgesellschaft,0.3384,311.75,0.458402452,3.3,Market,725.0,725.0,91.8685572,146.6360981,178.9071144,5.0,5.0
Unit_50,398,oil,oil,86.2,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Düsseldorf AG,0.2808,30.17,0.3072,1.1,Market,86.2,86.2,28.32173763,40.32173763,44.88260644,1.0,1.0
Unit_51,563,combined cycle gas turbine,natural gas,100.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Düsseldorf AG,0.2052,35.0,0.544796527,1.6,Market,100.0,100.0,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_52,563,open cycle gas turbine,natural gas,66.7,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Düsseldorf AG,0.2052,20.01,0.316656285,1.6,Market,66.7,66.7,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_53,563,open cycle gas turbine,natural gas,64.7,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Düsseldorf AG,0.2052,19.41,0.319107807,1.6,Market,64.7,64.7,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_54,563,combined cycle gas turbine,natural gas,595.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Düsseldorf AG,0.2052,208.25,0.612089806,1.6,Market,595.0,595.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_55,638,open cycle gas turbine,natural gas,321.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Uniper Kraftwerke GmbH,0.2052,96.3,0.326462372,1.6,Market,321.0,321.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_56,451,combined cycle gas turbine,natural gas,75.185,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Palm Power GmbH & Co. KG,0.2052,26.31475,0.616295636,1.6,Market,75.185,75.185,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_57,672,combined cycle gas turbine,natural gas,433.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Statkraft Markets GmbH,0.2052,151.55,0.431239119,1.6,Market,433.0,433.0,90.76328584,159.7912128,190.0799689,3.0,3.0
Unit_58,670,combined cycle gas turbine,natural gas,112.719,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Kraftwerk Obernburg,0.2052,39.45165,0.35974001,1.6,Market,112.719,112.719,90.76328584,159.7912128,190.0799689,3.0,3.0
Unit_59,471,lignite,lignite,663.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,285.09,0.345062344,3.3,Market,397.8,397.8,66.17157947,99.12699338,128.3131589,11.0,11.0
Unit_60,471,gas steam turbine,natural gas,200.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.2052,70.0,0.39174058,1.1,Market,200.0,200.0,74.91328584,132.3812128,169.7199689,5.0,5.0
Unit_61,644,open cycle gas turbine,natural gas,50.1,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Flensburg,0.2052,15.03,0.419620193,1.6,Market,50.1,50.1,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_62,644,open cycle gas turbine,natural gas,60.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Stadtwerke Flensburg,0.2052,18.0,0.434329323,1.6,Market,60.0,60.0,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_63,73,waste,waste,71.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Infraserv GmbH & Co. Höchst KG,0.0,28.4,0.33,0.0,Market,71.0,71.0,0.0,0.0,0.0,8.0,8.0
Unit_64,73,open cycle gas turbine,natural gas,92.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Infraserv GmbH & Co. Höchst KG,0.2052,27.6,0.434329323,1.6,Market,92.0,92.0,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_65,73,open cycle gas turbine,natural gas,92.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Infraserv GmbH & Co. Höchst KG,0.2052,27.6,0.434329323,1.6,Market,92.0,92.0,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_66,73,combined cycle gas turbine,natural gas,53.6,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Infraserv GmbH & Co. Höchst KG,0.2052,18.76,0.557414017,1.6,Market,53.6,53.6,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_67,687,combined cycle gas turbine,natural gas,70.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Mainova AG,0.2052,24.5,0.565825677,1.6,Market,70.0,70.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_68,687,hard coal,hard coal,61.5,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Mainova AG,0.3384,26.445,0.40791401,3.3,Market,61.5,61.5,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_69,687,hard coal,hard coal,61.5,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Mainova AG,0.3384,26.445,0.40791401,3.3,Market,61.5,61.5,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_70,687,open cycle gas turbine,natural gas,110.755,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Mainova AG,0.2052,33.2265,0.365686718,1.6,Market,110.755,110.755,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_71,395,lignite,lignite,56.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,24.08,0.317443027,3.3,Market,33.6,33.6,66.17157947,99.12699338,128.3131589,11.0,11.0
Unit_72,600,combined cycle gas turbine,natural gas,52.93,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Uniper Kraftwerke GmbH,0.2052,18.5255,0.645736446,1.6,Market,52.93,52.93,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_73,600,combined cycle gas turbine,natural gas,52.93,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Uniper Kraftwerke GmbH,0.2052,18.5255,0.645736446,1.6,Market,52.93,52.93,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_74,422,lignite,lignite,1060.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,455.8,0.432523517,3.3,Market,1060.0,1060.0,48.17157947,71.72699338,91.51315894,8.0,8.0
Unit_75,422,lignite,lignite,1060.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,455.8,0.432523517,3.3,Market,1060.0,1060.0,48.17157947,71.72699338,91.51315894,8.0,8.0
Unit_76,697,open cycle gas turbine,natural gas,126.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Mark-E Aktiengesellschaft,0.2052,37.8,0.333816936,1.6,Market,126.0,126.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_77,697,open cycle gas turbine,natural gas,121.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Mark-E Aktiengesellschaft,0.2052,36.3,0.333816936,1.6,Market,121.0,121.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_78,7,combined cycle gas turbine,natural gas,56.845,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EVH GmbH,0.2052,19.89575,0.628913126,1.6,Market,56.845,56.845,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_79,7,combined cycle gas turbine,natural gas,57.144,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EVH GmbH,0.2052,20.0004,0.628913126,1.6,Market,57.144,57.144,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_80,7,open cycle gas turbine,natural gas,57.322,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EVH GmbH,0.2052,17.1966,0.42942628,1.6,Market,57.322,57.322,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_81,7,combined cycle gas turbine,natural gas,54.832533,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Heizkraftwerk Halle-Trotha GmbH,0.2052,19.19138655,0.519561547,1.6,Market,54.832533,54.832533,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_82,406,combined cycle gas turbine,natural gas,127.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hamburger Energiewerke GmbH,0.2052,44.45,0.582648997,1.6,Market,127.0,127.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_83,406,hard coal,hard coal,154.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hamburger Energiewerke GmbH,0.3384,66.22,0.414499459,3.3,Market,154.0,154.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_84,267,combined cycle gas turbine,natural gas,407.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Trianel Gaskraftwerk Hamm,0.2052,142.45,0.574237337,1.6,Market,407.0,407.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_85,267,combined cycle gas turbine,natural gas,445.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Trianel Gaskraftwerk Hamm,0.2052,155.75,0.574237337,1.6,Market,445.0,445.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_86,411,hard coal,hard coal,136.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,enercity AG,0.3384,58.48,0.40571886,3.3,Market,136.0,136.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_87,411,hard coal,hard coal,136.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,enercity AG,0.3384,58.48,0.40571886,3.3,Market,136.0,136.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_88,411,open cycle gas turbine,natural gas,78.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,enercity AG,0.2052,23.4,0.370589761,1.6,Market,78.0,78.0,32.82845297,54.75845297,55.90267945,1.0,1.0
Unit_89,411,combined cycle gas turbine,natural gas,82.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,enercity AG,0.2052,28.7,0.591060656,1.6,Market,82.0,82.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_90,411,combined cycle gas turbine,natural gas,70.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,enercity AG,0.2052,24.5,0.582648997,1.6,Market,70.0,70.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_91,263,hard coal,hard coal,778.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EnBW Energie Baden-Württemberg AG,0.3384,334.54,0.396938261,3.3,Market,778.0,778.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_92,233,combined cycle gas turbine,natural gas,417.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Mark-E Aktiengesellschaft,0.2052,145.95,0.574237337,1.6,Market,417.0,417.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_93,246,combined cycle gas turbine,natural gas,657.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,GuD Herne,0.2052,229.95,0.637324786,1.6,Market,657.0,657.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_94,246,hard coal,hard coal,460.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,STEAG Power GmbH,0.3384,197.8,0.40571886,3.3,Market,460.0,460.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_95,378,combined cycle gas turbine,natural gas,280.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Knapsack Power GmbH & Co. KG,0.2052,98.0,0.574237337,1.6,Market,280.0,280.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_96,378,combined cycle gas turbine,natural gas,308.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Knapsack Power GmbH & Co. KG,0.2052,107.8,0.574237337,1.6,Market,308.0,308.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_97,378,combined cycle gas turbine,natural gas,308.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Knapsack Power GmbH & Co. KG,0.2052,107.8,0.574237337,1.6,Market,308.0,308.0,68.84328584,112.0212128,147.0099689,2.0,2.0
Unit_98,378,lignite,lignite,98.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,42.14,0.386491321,3.3,Market,88.2,88.2,59.17157947,79.55699338,115.7831589,9.0,9.0
Unit_99,378,lignite,lignite,63.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RWE Power AG,0.3636,27.09,0.386491321,3.3,Market,56.7,56.7,59.17157947,79.55699338,115.7831589,9.0,9.0
Unit_100,378,open cycle gas turbine,natural gas,430.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Statkraft Markets GmbH,0.2052,129.0,0.412265628,1.6,Market,430.0,430.0,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_101,321,gas steam turbine,natural gas,59.8,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,SWK Stadtwerke Kaiserslautern Versorgungs-AG,0.2052,20.93,0.276195478,1.1,Market,59.8,59.8,79.91328584,155.0912128,180.6799689,5.0,5.0
Unit_102,324,hard coal,hard coal,517.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EnBW Energie Baden-Württemberg AG,0.3384,222.31,0.396938261,3.3,Market,517.0,517.0,102.8685572,154.4660981,203.1771144,6.0,6.0
Unit_103,324,hard coal,hard coal,834.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,EnBW Energie Baden-Württemberg AG,0.3384,358.62,0.460597602,3.3,Market,834.0,834.0,91.8685572,146.6360981,178.9071144,5.0,5.0
Unit_104,34,lignite,lignite,75.3,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RheinEnergie AG,0.3636,32.379,0.427920298,3.3,Market,75.3,75.3,48.17157947,71.72699338,91.51315894,8.0,8.0
Unit_105,36,gas steam turbine,natural gas,147.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RheinEnergie AG,0.2052,51.45,0.390650532,1.1,Market,147.0,147.0,74.91328584,132.3812128,169.7199689,5.0,5.0
Unit_106,36,open cycle gas turbine,natural gas,266.0,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RheinEnergie AG,0.2052,79.8,0.392653455,1.6,Market,266.0,266.0,19.51845297,22.64845297,27.71267945,1.0,1.0
Unit_107,34,combined cycle gas turbine,natural gas,108.2,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RheinEnergie AG,0.2052,37.87,0.561619847,1.6,Market,108.2,108.2,74.32328584,130.0312128,172.8499689,3.0,3.0
Unit_108,36,combined cycle gas turbine,natural gas,452.9,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,RheinEnergie AG,0.2052,158.515,0.612089806,1.6,Market,452.9,452.9,68.84328584,112.0212128,147.0099689,2.0,2.0
