name,technology,node,bidding_EOM,bidding_Redispatch,forecast_lmp,fuel_type,max_power,min_power,additional_cost,unit_operator,emission_factor,efficiency
gas_9,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,50.0,operator,0.0,1.0
gas_10,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,51.0,operator,0.0,1.0
gas_11,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,52.0,operator,0.0,1.0
gas_12,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,53.0,operator,0.0,1.0
gas_13,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,54.0,operator,0.0,1.0
gas_14,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,55.0,operator,0.0,1.0
gas_15,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,56.0,operator,0.0,1.0
gas_16,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,57.0,operator,0.0,1.0
gas_17,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,58.0,operator,0.0,1.0
gas_18,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,59.0,operator,0.0,1.0
gas_19,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,60.0,operator,0.0,1.0
gas_20,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,61.0,operator,0.0,1.0
gas_21,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,62.0,operator,0.0,1.0
gas_22,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,63.0,operator,0.0,1.0
gas_23,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,64.0,operator,0.0,1.0
gas_24,gas,south,powerplant_energy_naive,powerplant_energy_naive_redispatch,lmp_nodal_forecast,natural gas,1000.0,0.0,65.0,operator,0.0,1.0
