name,technology,bidding_EOM,bidding_redispatch,bidding_nodal,bidding_DAM,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_35,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,9.9,1.98,0.315,1.65,418,operator_35,Market
Unit_36,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,9.9,1.98,0.315,1.65,418,operator_36,Market
Unit_37,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.5,0.9,0.354,5.5,418,operator_37,Market
Unit_38,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Oil,0.25,0.8,0.16,0.387,5.5,418,operator_38,Market
Unit_39,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,15,3,0.285,1.65,317,operator_39,Market
Unit_40,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,628,125.6,0.345,1.65,317,operator_40,Market
Unit_41,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,648,129.6,0.345,1.65,317,operator_41,Market
Unit_42,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,944,188.8,0.412,1.65,317,operator_42,Market
Unit_43,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,9.4,1.88,0.356,5.5,347,operator_43,Market
Unit_44,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,5.7,1.14,0.356,5.5,347,operator_44,Market
Unit_45,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.4,0.88,0.474,5.5,44,operator_45,Market
Unit_46,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.4,0.88,0.474,5.5,44,operator_46,Market
Unit_47,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.4,0.88,0.474,5.5,44,operator_47,Market
Unit_48,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.4,0.88,0.474,5.5,44,operator_48,Market
Unit_49,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.456,5.5,44,operator_49,Market
Unit_50,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.456,5.5,44,operator_50,Market
Unit_51,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.456,5.5,44,operator_51,Market
Unit_52,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.456,5.5,44,operator_52,Market
Unit_53,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,10.2,2.04,0.474,5.5,47,operator_53,Market
Unit_54,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.46,5.5,47,operator_54,Market
Unit_55,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.46,5.5,47,operator_55,Market
Unit_56,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.46,5.5,47,operator_56,Market
Unit_57,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.462,5.5,47,operator_57,Market
Unit_58,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.47,5.5,47,operator_58,Market
Unit_59,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,115,23,0.625,5.5,347,operator_59,Market
Unit_60,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,185,37,0.625,5.5,347,operator_60,Market
Unit_61,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,189.5,37.9,0.629,5.5,48,operator_61,Market
Unit_62,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,72,14.4,0.322,5.5,347,operator_62,Market
Unit_63,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,72,14.4,0.322,5.5,347,operator_63,Market
Unit_64,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,52,10.4,0.364,5.5,435,operator_64,Market
Unit_65,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,56,11.2,0.364,5.5,435,operator_65,Market
Unit_66,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,56,11.2,0.366,5.5,435,operator_66,Market
Unit_67,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,116,23.2,0.382,5.5,47,operator_67,Market
Unit_68,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,164,32.8,0.373,5.5,47,operator_68,Market
Unit_69,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,164,32.8,0.373,5.5,47,operator_69,Market
Unit_70,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,89,17.8,0.408,1.3,347,operator_70,Market
Unit_71,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Oil,0.25,17,3.4,0.305,5.5,347,operator_71,Market
Unit_72,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Oil,0.25,17,3.4,0.305,5.5,347,operator_72,Market
Unit_73,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,282,56.4,0.401,1.3,365,operator_73,Market
Unit_74,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,282,56.4,0.404,1.3,365,operator_74,Market
Unit_75,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,36,7.2,0.33,0,365,operator_75,Market
Unit_76,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,58.5,11.7,0.625,5.5,432,operator_76,Market
Unit_77,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,63.5,12.7,0.629,5.5,432,operator_77,Market
Unit_78,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,21.7,4.34,0.379,5.5,432,operator_78,Market
Unit_79,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,30,6,0.33,0,432,operator_79,Market
Unit_80,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,9.4,1.88,0.566,5.5,400,operator_80,Market
Unit_81,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,14.1,2.82,0.612,5.5,400,operator_81,Market
Unit_82,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,15.1,3.02,0.633,5.5,400,operator_82,Market
Unit_83,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,23.5,4.7,0.324,5.5,219,operator_83,Market
Unit_84,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,20,4,0.348,5.5,219,operator_84,Market
Unit_85,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,28.5,5.7,0.348,5.5,219,operator_85,Market
Unit_86,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,2,0.4,0.464,5.5,263,operator_86,Market
Unit_87,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,108,21.6,0.545,5.5,263,operator_87,Market
Unit_88,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,50,10,0.371,5.5,418,operator_88,Market
Unit_89,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,10,2,0.33,0,263,operator_89,Market
Unit_90,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,12.6,2.52,0.33,0,399,operator_90,Market
Unit_91,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,43.4,8.68,0.44,5.5,141,operator_91,Market
Unit_92,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,6.4,1.28,0.39,5.5,201,operator_92,Market
Unit_93,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,73.5,14.7,0.599,5.5,118,operator_93,Market
Unit_94,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,20.5,4.1,0.536,5.5,118,operator_94,Market
Unit_95,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,12.1,2.42,0.33,0,118,operator_95,Market
Unit_96,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,500,100,0.357,1.65,418,operator_96,Market
Unit_97,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,500,100,0.359,1.65,418,operator_97,Market
Unit_98,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,840,168,0.405,1.65,418,operator_98,Market
Unit_99,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Lignite,0.4,630,126,0.433,1.65,418,operator_99,Market
Unit_100,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,36.8,7.36,0.373,5.5,43,operator_100,Market
Unit_101,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,56,11.2,0.379,5.5,43,operator_101,Market
Unit_102,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,60,12,0.52,5.5,43,operator_102,Market
Unit_103,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,60,12,0.52,5.5,43,operator_103,Market
Unit_104,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,68.4,13.68,0.437,5.5,295,operator_104,Market
Unit_105,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,98.1,19.62,0.642,5.5,295,operator_105,Market
Unit_106,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,44.5,8.9,0.397,1.3,295,operator_106,Market
Unit_107,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,20,4,0.354,5.5,295,operator_107,Market
Unit_108,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,25,5,0.356,5.5,416,operator_108,Market
Unit_109,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,10.4,2.08,0.462,5.5,416,operator_109,Market
Unit_110,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.8,0.96,0.363,5.5,67,operator_110,Market
Unit_111,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,5,1,0.549,5.5,67,operator_111,Market
Unit_112,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,5,1,0.553,5.5,67,operator_112,Market
Unit_113,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,444.5,88.9,0.604,5.5,67,operator_113,Market
Unit_114,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,2.6,0.52,0.33,0,62,operator_114,Market
Unit_115,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,13.3,2.66,0.33,0,62,operator_115,Market
Unit_116,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,49.2,9.84,0.33,0,62,operator_116,Market
Unit_117,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,32,6.4,0.33,0,67,operator_117,Market
Unit_118,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,106,21.2,0.474,5.5,62,operator_118,Market
Unit_119,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,119,23.8,0.406,1.3,62,operator_119,Market
Unit_120,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Oil,0.25,86,17.2,0.315,5.5,67,operator_120,Market
Unit_121,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,14,2.8,0.33,0,358,operator_121,Market
Unit_122,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,10.4,2.08,0.422,5.5,385,operator_122,Market
Unit_123,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,5,1,0.375,5.5,111,operator_123,Market
Unit_124,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,5,1,0.375,5.5,111,operator_124,Market
Unit_125,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.5,0.9,0.349,5.5,22,operator_125,Market
Unit_126,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,5.2,1.04,0.371,5.5,22,operator_126,Market
Unit_127,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,7.4,1.48,0.429,5.5,22,operator_127,Market
Unit_128,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,37.5,7.5,0.33,0,49,operator_128,Market
Unit_129,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,7.8,1.56,0.352,5.5,331,operator_129,Market
Unit_130,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,7.9,1.58,0.351,5.5,331,operator_130,Market
Unit_131,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,137,27.4,0.383,5.5,331,operator_131,Market
Unit_132,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,37.6,7.52,0.4,5.5,331,operator_132,Market
Unit_133,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,45.8,9.16,0.362,5.5,331,operator_133,Market
Unit_134,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,13.5,2.7,0.371,5.5,331,operator_134,Market
Unit_135,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,72.5,14.5,0.349,5.5,331,operator_135,Market
Unit_136,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,12.8,2.56,0.33,0,331,operator_136,Market
Unit_137,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,10,2,0.361,5.5,140,operator_137,Market
Unit_138,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.5,2.5,0.474,5.5,234,operator_138,Market
Unit_139,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.5,2.5,0.474,5.5,234,operator_139,Market
Unit_140,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.5,2.5,0.474,5.5,234,operator_140,Market
Unit_141,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.5,2.5,0.474,5.5,234,operator_141,Market
Unit_142,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.5,2.5,0.474,5.5,234,operator_142,Market
Unit_143,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.5,2.5,0.474,5.5,234,operator_143,Market
Unit_144,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.5,2.5,0.474,5.5,234,operator_144,Market
Unit_145,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.7,2.54,0.473,5.5,418,operator_145,Market
Unit_146,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.7,2.54,0.473,5.5,418,operator_146,Market
Unit_147,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.7,2.54,0.473,5.5,418,operator_147,Market
Unit_148,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.7,2.54,0.473,5.5,418,operator_148,Market
Unit_149,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,12.7,2.54,0.473,5.5,418,operator_149,Market
Unit_150,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,10.6,2.12,0.33,0,334,operator_150,Market
Unit_151,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Oil,0.25,5.7,1.14,0.435,5.5,122,operator_151,Market
Unit_152,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Oil,0.25,5.7,1.14,0.435,5.5,122,operator_152,Market
Unit_153,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Oil,0.25,5.7,1.14,0.435,5.5,122,operator_153,Market
Unit_154,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,53.5,10.7,0.473,5.5,325,operator_154,Market
Unit_155,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,45,9,0.384,5.5,325,operator_155,Market
Unit_156,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,3,0.6,0.462,5.5,213,operator_156,Market
Unit_157,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,10,2,0.378,5.5,213,operator_157,Market
Unit_158,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,10.2,2.04,0.33,0,213,operator_158,Market
Unit_159,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Waste,0,1.2,0.24,0.33,0,213,operator_159,Market
Unit_160,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Hard coal,0.3,1052.0,210.4,0.474,1.3,164,operator_160,Market
Unit_161,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,39.1,7.82,0.528,5.5,263,operator_161,Market
Unit_162,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.1,0.82,0.469,5.5,337,operator_162,Market
Unit_163,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.1,0.82,0.462,5.5,337,operator_163,Market
Unit_164,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.1,0.82,0.466,5.5,337,operator_164,Market
Unit_165,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.1,0.82,0.466,5.5,337,operator_165,Market
Unit_166,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.5,0.9,0.469,5.5,337,operator_166,Market
Unit_167,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.5,0.9,0.469,5.5,337,operator_167,Market
Unit_168,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4.5,0.9,0.469,5.5,337,operator_168,Market
Unit_169,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,194,38.8,0.385,5.5,131,operator_169,Market
Unit_170,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,184,36.8,0.38,5.5,131,operator_170,Market
Unit_171,Gas turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,184,36.8,0.38,5.5,131,operator_171,Market
Unit_172,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,58.7,11.74,0.637,5.5,444,operator_172,Market
Unit_173,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,22.6,4.52,0.637,5.5,444,operator_173,Market
Unit_174,Combined cycle,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,4,0.8,0.637,5.5,444,operator_174,Market
Unit_175,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Oil,0.25,15,3,0.385,5.5,190,operator_175,Market
Unit_176,Steam turbine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,74,14.8,0.38,5.5,416,operator_176,Market
Unit_177,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,11.5,2.3,0.473,5.5,416,operator_177,Market
Unit_178,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,11.5,2.3,0.473,5.5,416,operator_178,Market
Unit_179,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,11.5,2.3,0.473,5.5,416,operator_179,Market
Unit_180,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,11.5,2.3,0.473,5.5,416,operator_180,Market
Unit_181,Combustion Engine,naive_eom,naive_redispatch,naive_eom,flexable_eom_block,Natural gas,0.2,11.5,2.3,0.473,5.5,416,operator_181,Market
