,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node,product_start,product_end,only_hours,market_id,time,simulation
5,4.5,-0,-0,4.5,10000,,,west,2023-01-02 01:00:00,2023-01-02 02:00:00,,redispatch,2023-01-02 01:00:00,example_05e_base
6,0,4.5,4.5,0,10,,,north,2023-01-02 02:00:00,2023-01-02 03:00:00,,redispatch,2023-01-02 02:00:00,example_05e_base
7,0,-0,-0,0,5005,,,east,2023-01-02 02:00:00,2023-01-02 03:00:00,,redispatch,2023-01-02 02:00:00,example_05e_base
8,4.5,-0,-0,4.5,10000,,,west,2023-01-02 02:00:00,2023-01-02 03:00:00,,redispatch,2023-01-02 02:00:00,example_05e_base
9,0,4.5,4.5,0,10,,,north,2023-01-02 03:00:00,2023-01-02 04:00:00,,redispatch,2023-01-02 03:00:00,example_05e_base
10,0,-0,-0,0,5005,,,east,2023-01-02 03:00:00,2023-01-02 04:00:00,,redispatch,2023-01-02 03:00:00,example_05e_base
11,4.5,-0,-0,4.5,10000,,,west,2023-01-02 03:00:00,2023-01-02 04:00:00,,redispatch,2023-01-02 03:00:00,example_05e_base
12,0,4.5,4.5,0,10,,,north,2023-01-02 04:00:00,2023-01-02 05:00:00,,redispatch,2023-01-02 04:00:00,example_05e_base
13,0,-0,-0,0,5005,,,east,2023-01-02 04:00:00,2023-01-02 05:00:00,,redispatch,2023-01-02 04:00:00,example_05e_base
14,4.5,-0,-0,4.5,10000,,,west,2023-01-02 04:00:00,2023-01-02 05:00:00,,redispatch,2023-01-02 04:00:00,example_05e_base
15,0,4.5,4.5,0,10,,,north,2023-01-02 05:00:00,2023-01-02 06:00:00,,redispatch,2023-01-02 05:00:00,example_05e_base
16,0,-0,-0,0,5005,,,east,2023-01-02 05:00:00,2023-01-02 06:00:00,,redispatch,2023-01-02 05:00:00,example_05e_base
17,4.5,-0,-0,4.5,10000,,,west,2023-01-02 05:00:00,2023-01-02 06:00:00,,redispatch,2023-01-02 05:00:00,example_05e_base
18,0,4.5,4.5,0,10,,,north,2023-01-02 06:00:00,2023-01-02 07:00:00,,redispatch,2023-01-02 06:00:00,example_05e_base
19,0,-0,-0,0,5005,,,east,2023-01-02 06:00:00,2023-01-02 07:00:00,,redispatch,2023-01-02 06:00:00,example_05e_base
20,4.5,-0,-0,4.5,10000,,,west,2023-01-02 06:00:00,2023-01-02 07:00:00,,redispatch,2023-01-02 06:00:00,example_05e_base
21,0,4.5,4.5,0,10,,,north,2023-01-02 07:00:00,2023-01-02 08:00:00,,redispatch,2023-01-02 07:00:00,example_05e_base
22,0,-0,-0,0,5005,,,east,2023-01-02 07:00:00,2023-01-02 08:00:00,,redispatch,2023-01-02 07:00:00,example_05e_base
23,4.5,-0,-0,4.5,10000,,,west,2023-01-02 07:00:00,2023-01-02 08:00:00,,redispatch,2023-01-02 07:00:00,example_05e_base
24,0,4.5,4.5,0,10,,,north,2023-01-02 08:00:00,2023-01-02 09:00:00,,redispatch,2023-01-02 08:00:00,example_05e_base
25,0,-0,-0,0,5005,,,east,2023-01-02 08:00:00,2023-01-02 09:00:00,,redispatch,2023-01-02 08:00:00,example_05e_base
26,4.5,-0,-0,4.5,10000,,,west,2023-01-02 08:00:00,2023-01-02 09:00:00,,redispatch,2023-01-02 08:00:00,example_05e_base
27,0,4.5,4.5,0,10,,,north,2023-01-02 09:00:00,2023-01-02 10:00:00,,redispatch,2023-01-02 09:00:00,example_05e_base
28,0,-0,-0,0,5005,,,east,2023-01-02 09:00:00,2023-01-02 10:00:00,,redispatch,2023-01-02 09:00:00,example_05e_base
29,4.5,-0,-0,4.5,10000,,,west,2023-01-02 09:00:00,2023-01-02 10:00:00,,redispatch,2023-01-02 09:00:00,example_05e_base
30,0,4.5,4.5,0,10,,,north,2023-01-02 10:00:00,2023-01-02 11:00:00,,redispatch,2023-01-02 10:00:00,example_05e_base
31,0,-0,-0,0,5005,,,east,2023-01-02 10:00:00,2023-01-02 11:00:00,,redispatch,2023-01-02 10:00:00,example_05e_base
32,4.5,-0,-0,4.5,10000,,,west,2023-01-02 10:00:00,2023-01-02 11:00:00,,redispatch,2023-01-02 10:00:00,example_05e_base
33,0,4.5,4.5,0,10,,,north,2023-01-02 11:00:00,2023-01-02 12:00:00,,redispatch,2023-01-02 11:00:00,example_05e_base
34,0,-0,-0,0,5005,,,east,2023-01-02 11:00:00,2023-01-02 12:00:00,,redispatch,2023-01-02 11:00:00,example_05e_base
35,4.5,-0,-0,4.5,10000,,,west,2023-01-02 11:00:00,2023-01-02 12:00:00,,redispatch,2023-01-02 11:00:00,example_05e_base
36,0,4.5,4.5,0,10,,,north,2023-01-02 12:00:00,2023-01-02 13:00:00,,redispatch,2023-01-02 12:00:00,example_05e_base
37,0,-0,-0,0,5005,,,east,2023-01-02 12:00:00,2023-01-02 13:00:00,,redispatch,2023-01-02 12:00:00,example_05e_base
38,4.5,-0,-0,4.5,10000,,,west,2023-01-02 12:00:00,2023-01-02 13:00:00,,redispatch,2023-01-02 12:00:00,example_05e_base
39,0,4.5,4.5,0,10,,,north,2023-01-02 13:00:00,2023-01-02 14:00:00,,redispatch,2023-01-02 13:00:00,example_05e_base
40,0,-0,-0,0,5005,,,east,2023-01-02 13:00:00,2023-01-02 14:00:00,,redispatch,2023-01-02 13:00:00,example_05e_base
41,4.5,-0,-0,4.5,10000,,,west,2023-01-02 13:00:00,2023-01-02 14:00:00,,redispatch,2023-01-02 13:00:00,example_05e_base
42,0,4.5,4.5,0,10,,,north,2023-01-02 14:00:00,2023-01-02 15:00:00,,redispatch,2023-01-02 14:00:00,example_05e_base
43,0,-0,-0,0,5005,,,east,2023-01-02 14:00:00,2023-01-02 15:00:00,,redispatch,2023-01-02 14:00:00,example_05e_base
44,4.5,-0,-0,4.5,10000,,,west,2023-01-02 14:00:00,2023-01-02 15:00:00,,redispatch,2023-01-02 14:00:00,example_05e_base
45,0,4.5,4.5,0,10,,,north,2023-01-02 15:00:00,2023-01-02 16:00:00,,redispatch,2023-01-02 15:00:00,example_05e_base
46,0,-0,-0,0,5005,,,east,2023-01-02 15:00:00,2023-01-02 16:00:00,,redispatch,2023-01-02 15:00:00,example_05e_base
47,4.5,-0,-0,4.5,10000,,,west,2023-01-02 15:00:00,2023-01-02 16:00:00,,redispatch,2023-01-02 15:00:00,example_05e_base
48,0,4.5,4.5,0,10,,,north,2023-01-02 16:00:00,2023-01-02 17:00:00,,redispatch,2023-01-02 16:00:00,example_05e_base
49,0,-0,-0,0,5005,,,east,2023-01-02 16:00:00,2023-01-02 17:00:00,,redispatch,2023-01-02 16:00:00,example_05e_base
50,4.5,-0,-0,4.5,10000,,,west,2023-01-02 16:00:00,2023-01-02 17:00:00,,redispatch,2023-01-02 16:00:00,example_05e_base
51,0,4.5,4.5,0,10,,,north,2023-01-02 17:00:00,2023-01-02 18:00:00,,redispatch,2023-01-02 17:00:00,example_05e_base
52,0,-0,-0,0,5005,,,east,2023-01-02 17:00:00,2023-01-02 18:00:00,,redispatch,2023-01-02 17:00:00,example_05e_base
53,4.5,-0,-0,4.5,10000,,,west,2023-01-02 17:00:00,2023-01-02 18:00:00,,redispatch,2023-01-02 17:00:00,example_05e_base
54,0,4.5,4.5,0,10,,,north,2023-01-02 18:00:00,2023-01-02 19:00:00,,redispatch,2023-01-02 18:00:00,example_05e_base
55,0,-0,-0,0,5005,,,east,2023-01-02 18:00:00,2023-01-02 19:00:00,,redispatch,2023-01-02 18:00:00,example_05e_base
56,4.5,-0,-0,4.5,10000,,,west,2023-01-02 18:00:00,2023-01-02 19:00:00,,redispatch,2023-01-02 18:00:00,example_05e_base
57,0,4.5,4.5,0,10,,,north,2023-01-02 19:00:00,2023-01-02 20:00:00,,redispatch,2023-01-02 19:00:00,example_05e_base
58,0,-0,-0,0,5005,,,east,2023-01-02 19:00:00,2023-01-02 20:00:00,,redispatch,2023-01-02 19:00:00,example_05e_base
59,4.5,-0,-0,4.5,10000,,,west,2023-01-02 19:00:00,2023-01-02 20:00:00,,redispatch,2023-01-02 19:00:00,example_05e_base
60,0,4.5,4.5,0,10,,,north,2023-01-02 20:00:00,2023-01-02 21:00:00,,redispatch,2023-01-02 20:00:00,example_05e_base
61,0,-0,-0,0,5005,,,east,2023-01-02 20:00:00,2023-01-02 21:00:00,,redispatch,2023-01-02 20:00:00,example_05e_base
62,4.5,-0,-0,4.5,10000,,,west,2023-01-02 20:00:00,2023-01-02 21:00:00,,redispatch,2023-01-02 20:00:00,example_05e_base
63,0,4.5,4.5,0,10,,,north,2023-01-02 21:00:00,2023-01-02 22:00:00,,redispatch,2023-01-02 21:00:00,example_05e_base
64,0,-0,-0,0,5005,,,east,2023-01-02 21:00:00,2023-01-02 22:00:00,,redispatch,2023-01-02 21:00:00,example_05e_base
65,4.5,-0,-0,4.5,10000,,,west,2023-01-02 21:00:00,2023-01-02 22:00:00,,redispatch,2023-01-02 21:00:00,example_05e_base
66,0,4.5,4.5,0,10,,,north,2023-01-02 22:00:00,2023-01-02 23:00:00,,redispatch,2023-01-02 22:00:00,example_05e_base
67,0,-0,-0,0,5005,,,east,2023-01-02 22:00:00,2023-01-02 23:00:00,,redispatch,2023-01-02 22:00:00,example_05e_base
68,4.5,-0,-0,4.5,10000,,,west,2023-01-02 22:00:00,2023-01-02 23:00:00,,redispatch,2023-01-02 22:00:00,example_05e_base
69,0,4.5,4.5,0,10,,,north,2023-01-02 23:00:00,2023-01-03 00:00:00,,redispatch,2023-01-02 23:00:00,example_05e_base
70,0,-0,-0,0,5005,,,east,2023-01-02 23:00:00,2023-01-03 00:00:00,,redispatch,2023-01-02 23:00:00,example_05e_base
71,4.5,-0,-0,4.5,10000,,,west,2023-01-02 23:00:00,2023-01-03 00:00:00,,redispatch,2023-01-02 23:00:00,example_05e_base
