,power,energy_cashflow,unit,simulation
2023-01-01 18:00:00,0,0,Unit 3,example_05e_base
2023-01-01 19:00:00,0,0,Unit 3,example_05e_base
2023-01-01 20:00:00,0,0,Unit 3,example_05e_base
2023-01-01 00:00:00,-10,0,demand_north,example_05e_base
2023-01-01 01:00:00,-10,0,demand_north,example_05e_base
2023-01-01 02:00:00,-10,0,demand_north,example_05e_base
2023-01-01 03:00:00,-10,0,demand_north,example_05e_base
2023-01-01 04:00:00,-10,0,demand_north,example_05e_base
2023-01-01 05:00:00,-10,0,demand_north,example_05e_base
2023-01-01 06:00:00,-10,0,demand_north,example_05e_base
2023-01-01 07:00:00,-10,0,demand_north,example_05e_base
2023-01-01 08:00:00,-10,0,demand_north,example_05e_base
2023-01-01 09:00:00,-10,0,demand_north,example_05e_base
2023-01-01 10:00:00,-10,0,demand_north,example_05e_base
2023-01-01 11:00:00,-10,0,demand_north,example_05e_base
2023-01-01 12:00:00,-10,0,demand_north,example_05e_base
2023-01-01 13:00:00,-10,0,demand_north,example_05e_base
2023-01-01 14:00:00,-10,0,demand_north,example_05e_base
2023-01-01 15:00:00,-10,0,demand_north,example_05e_base
2023-01-01 16:00:00,-10,0,demand_north,example_05e_base
2023-01-01 17:00:00,-10,0,demand_north,example_05e_base
2023-01-01 18:00:00,-10,0,demand_north,example_05e_base
2023-01-01 19:00:00,-10,0,demand_north,example_05e_base
2023-01-01 20:00:00,-10,0,demand_north,example_05e_base
2023-01-01 00:00:00,-10,0,demand_east,example_05e_base
2023-01-01 01:00:00,-10,0,demand_east,example_05e_base
2023-01-01 02:00:00,-10,0,demand_east,example_05e_base
2023-01-01 03:00:00,-10,0,demand_east,example_05e_base
2023-01-01 04:00:00,-10,0,demand_east,example_05e_base
2023-01-01 05:00:00,-10,0,demand_east,example_05e_base
2023-01-01 06:00:00,-10,0,demand_east,example_05e_base
2023-01-01 07:00:00,-10,0,demand_east,example_05e_base
2023-01-01 08:00:00,-10,0,demand_east,example_05e_base
2023-01-01 09:00:00,-10,0,demand_east,example_05e_base
2023-01-01 10:00:00,-10,0,demand_east,example_05e_base
2023-01-01 11:00:00,-10,0,demand_east,example_05e_base
2023-01-01 12:00:00,-10,0,demand_east,example_05e_base
2023-01-01 13:00:00,-10,0,demand_east,example_05e_base
2023-01-01 14:00:00,-10,0,demand_east,example_05e_base
2023-01-01 15:00:00,-10,0,demand_east,example_05e_base
2023-01-01 16:00:00,-10,0,demand_east,example_05e_base
2023-01-01 17:00:00,-10,0,demand_east,example_05e_base
2023-01-01 18:00:00,-10,0,demand_east,example_05e_base
2023-01-01 19:00:00,-10,0,demand_east,example_05e_base
2023-01-01 20:00:00,-10,0,demand_east,example_05e_base
2023-01-01 00:00:00,-40,0,demand_west,example_05e_base
2023-01-01 01:00:00,-40,0,demand_west,example_05e_base
2023-01-01 02:00:00,-40,0,demand_west,example_05e_base
2023-01-01 03:00:00,-40,0,demand_west,example_05e_base
2023-01-01 04:00:00,-40,0,demand_west,example_05e_base
2023-01-01 05:00:00,-40,0,demand_west,example_05e_base
2023-01-01 06:00:00,-40,0,demand_west,example_05e_base
2023-01-01 07:00:00,-40,0,demand_west,example_05e_base
2023-01-01 08:00:00,-40,0,demand_west,example_05e_base
2023-01-01 09:00:00,-40,0,demand_west,example_05e_base
2023-01-01 10:00:00,-40,0,demand_west,example_05e_base
2023-01-01 11:00:00,-40,0,demand_west,example_05e_base
2023-01-01 12:00:00,-40,0,demand_west,example_05e_base
2023-01-01 13:00:00,-40,0,demand_west,example_05e_base
2023-01-01 14:00:00,-40,0,demand_west,example_05e_base
2023-01-01 15:00:00,-40,0,demand_west,example_05e_base
2023-01-01 16:00:00,-40,0,demand_west,example_05e_base
2023-01-01 17:00:00,-40,0,demand_west,example_05e_base
2023-01-01 18:00:00,-40,0,demand_west,example_05e_base
2023-01-01 19:00:00,-40,0,demand_west,example_05e_base
2023-01-01 20:00:00,-40,0,demand_west,example_05e_base
2023-01-01 21:00:00,0,0,Unit 1,example_05e_base
2023-01-01 22:00:00,0,0,Unit 1,example_05e_base
2023-01-01 23:00:00,0,0,Unit 1,example_05e_base
2023-01-01 21:00:00,0,0,Unit 2,example_05e_base
2023-01-01 22:00:00,0,0,Unit 2,example_05e_base
2023-01-01 23:00:00,0,0,Unit 2,example_05e_base
2023-01-01 21:00:00,0,0,Unit 3,example_05e_base
2023-01-01 22:00:00,0,0,Unit 3,example_05e_base
2023-01-01 23:00:00,0,0,Unit 3,example_05e_base
2023-01-01 21:00:00,-10,0,demand_north,example_05e_base
2023-01-01 22:00:00,-10,0,demand_north,example_05e_base
2023-01-01 23:00:00,-10,0,demand_north,example_05e_base
2023-01-01 21:00:00,-10,0,demand_east,example_05e_base
2023-01-01 22:00:00,-10,0,demand_east,example_05e_base
2023-01-01 23:00:00,-10,0,demand_east,example_05e_base
2023-01-01 21:00:00,-40,0,demand_west,example_05e_base
2023-01-01 22:00:00,-40,0,demand_west,example_05e_base
2023-01-01 23:00:00,-40,0,demand_west,example_05e_base
