,fuel_price_natural gas,availability_Unit 4,availability_Unit 3,fuel_price_co2,fuel_price_oil,residual_load_EOM,fuel_price_lignite,availability_Unit 2,availability_Unit 1,fuel_price_uranium,price_EOM,fuel_price_biomass,demand_EOM,fuel_price_hard coal
2019-01-01 18:00:00,25.0,1.0,1.0,25.0,40.0,2733.2,2.0,1.0,1.0,1.0,45.05,20.0,2733.2,10.0
2019-01-01 19:00:00,25.0,1.0,1.0,25.0,40.0,2682.55,2.0,1.0,1.0,1.0,45.05,20.0,2682.55,10.0
2019-01-01 20:00:00,25.0,1.0,1.0,25.0,40.0,2567.55,2.0,1.0,1.0,1.0,45.05,20.0,2567.55,10.0
2019-01-01 21:00:00,25.0,1.0,1.0,25.0,40.0,2486.85,2.0,1.0,1.0,1.0,45.05,20.0,2486.85,10.0
2019-01-01 22:00:00,25.0,1.0,1.0,25.0,40.0,2437.0,2.0,1.0,1.0,1.0,45.05,20.0,2437.0,10.0
2019-01-01 23:00:00,25.0,1.0,1.0,25.0,40.0,2297.85,2.0,1.0,1.0,1.0,45.05,20.0,2297.85,10.0
2019-01-02 00:00:00,25.0,1.0,1.0,25.0,40.0,2191.4,2.0,1.0,1.0,1.0,45.05,20.0,2191.4,10.0
2019-01-02 01:00:00,25.0,1.0,1.0,25.0,40.0,2116.25,2.0,1.0,1.0,1.0,45.05,20.0,2116.25,10.0
2019-01-02 02:00:00,25.0,1.0,1.0,25.0,40.0,2096.9,2.0,1.0,1.0,1.0,45.05,20.0,2096.9,10.0
2019-01-02 03:00:00,25.0,1.0,1.0,25.0,40.0,2121.4,2.0,1.0,1.0,1.0,45.05,20.0,2121.4,10.0
2019-01-02 04:00:00,25.0,1.0,1.0,25.0,40.0,2192.8,2.0,1.0,1.0,1.0,45.05,20.0,2192.8,10.0
2019-01-02 05:00:00,25.0,1.0,1.0,25.0,40.0,2346.55,2.0,1.0,1.0,1.0,45.05,20.0,2346.55,10.0
2019-01-02 06:00:00,25.0,1.0,1.0,25.0,40.0,2635.85,2.0,1.0,1.0,1.0,45.05,20.0,2635.85,10.0
2019-01-02 07:00:00,25.0,1.0,1.0,25.0,40.0,2908.45,2.0,1.0,1.0,1.0,45.05,20.0,2908.45,10.0
2019-01-02 08:00:00,25.0,1.0,1.0,25.0,40.0,3075.7,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3075.7,10.0
2019-01-02 09:00:00,25.0,1.0,1.0,25.0,40.0,3171.5,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3171.5,10.0
2019-01-02 10:00:00,25.0,1.0,1.0,25.0,40.0,3223.6,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3223.6,10.0
2019-01-02 11:00:00,25.0,1.0,1.0,25.0,40.0,3289.55,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3289.55,10.0
2019-01-02 12:00:00,25.0,1.0,1.0,25.0,40.0,3302.5,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3302.5,10.0
2019-01-02 13:00:00,25.0,1.0,1.0,25.0,40.0,3265.85,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3265.85,10.0
2019-01-02 14:00:00,25.0,1.0,1.0,25.0,40.0,3205.7,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3205.7,10.0
2019-01-02 15:00:00,25.0,1.0,1.0,25.0,40.0,3198.45,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3198.45,10.0
2019-01-02 16:00:00,25.0,1.0,1.0,25.0,40.0,3259.35,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3259.35,10.0
2019-01-02 17:00:00,25.0,1.0,1.0,25.0,40.0,3422.0,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3422.0,10.0
2019-01-02 18:00:00,25.0,1.0,1.0,25.0,40.0,3405.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3405.75,10.0
2019-01-02 19:00:00,25.0,1.0,1.0,25.0,40.0,3321.95,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3321.95,10.0
2019-01-02 20:00:00,25.0,1.0,1.0,25.0,40.0,3135.05,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3135.05,10.0
2019-01-02 21:00:00,25.0,1.0,1.0,25.0,40.0,2977.15,2.0,1.0,1.0,1.0,45.05,20.0,2977.15,10.0
2019-01-02 22:00:00,25.0,1.0,1.0,25.0,40.0,2881.65,2.0,1.0,1.0,1.0,45.05,20.0,2881.65,10.0
2019-01-02 23:00:00,25.0,1.0,1.0,25.0,40.0,2698.15,2.0,1.0,1.0,1.0,45.05,20.0,2698.15,10.0
2019-01-03 00:00:00,25.0,1.0,1.0,25.0,40.0,2550.85,2.0,1.0,1.0,1.0,45.05,20.0,2550.85,10.0
2019-01-03 01:00:00,25.0,1.0,1.0,25.0,40.0,2502.1,2.0,1.0,1.0,1.0,45.05,20.0,2502.1,10.0
2019-01-03 02:00:00,25.0,1.0,1.0,25.0,40.0,2487.9,2.0,1.0,1.0,1.0,45.05,20.0,2487.9,10.0
2019-01-03 03:00:00,25.0,1.0,1.0,25.0,40.0,2482.85,2.0,1.0,1.0,1.0,45.05,20.0,2482.85,10.0
2019-01-03 04:00:00,25.0,1.0,1.0,25.0,40.0,2521.6,2.0,1.0,1.0,1.0,45.05,20.0,2521.6,10.0
2019-01-03 05:00:00,25.0,1.0,1.0,25.0,40.0,2652.4,2.0,1.0,1.0,1.0,45.05,20.0,2652.4,10.0
2019-01-03 06:00:00,25.0,1.0,1.0,25.0,40.0,2892.3,2.0,1.0,1.0,1.0,45.05,20.0,2892.3,10.0
2019-01-03 07:00:00,25.0,1.0,1.0,25.0,40.0,3111.35,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3111.35,10.0
2019-01-03 08:00:00,25.0,1.0,1.0,25.0,40.0,3240.1,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3240.1,10.0
2019-01-03 09:00:00,25.0,1.0,1.0,25.0,40.0,3304.45,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3304.45,10.0
2019-01-03 10:00:00,25.0,1.0,1.0,25.0,40.0,3333.7,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3333.7,10.0
2019-01-03 11:00:00,25.0,1.0,1.0,25.0,40.0,3378.35,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3378.35,10.0
2019-01-03 12:00:00,25.0,1.0,1.0,25.0,40.0,3390.2,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3390.2,10.0
2019-01-03 13:00:00,25.0,1.0,1.0,25.0,40.0,3331.7,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3331.7,10.0
2019-01-03 14:00:00,25.0,1.0,1.0,25.0,40.0,3278.8,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3278.8,10.0
2019-01-03 15:00:00,25.0,1.0,1.0,25.0,40.0,3250.55,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3250.55,10.0
2019-01-03 16:00:00,25.0,1.0,1.0,25.0,40.0,3315.5,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3315.5,10.0
2019-01-03 17:00:00,25.0,1.0,1.0,25.0,40.0,3468.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3468.75,10.0
2019-01-03 18:00:00,25.0,1.0,1.0,25.0,40.0,3452.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3452.75,10.0
2019-01-03 19:00:00,25.0,1.0,1.0,25.0,40.0,3355.9,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3355.9,10.0
2019-01-03 20:00:00,25.0,1.0,1.0,25.0,40.0,3174.25,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3174.25,10.0
2019-01-03 21:00:00,25.0,1.0,1.0,25.0,40.0,3029.6000000000004,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3029.6000000000004,10.0
2019-01-03 22:00:00,25.0,1.0,1.0,25.0,40.0,2911.75,2.0,1.0,1.0,1.0,45.05,20.0,2911.75,10.0
2019-01-03 23:00:00,25.0,1.0,1.0,25.0,40.0,2747.45,2.0,1.0,1.0,1.0,45.05,20.0,2747.45,10.0
2019-01-04 00:00:00,25.0,1.0,1.0,25.0,40.0,2593.5,2.0,1.0,1.0,1.0,45.05,20.0,2593.5,10.0
2019-01-04 01:00:00,25.0,1.0,1.0,25.0,40.0,2501.8,2.0,1.0,1.0,1.0,45.05,20.0,2501.8,10.0
2019-01-04 02:00:00,25.0,1.0,1.0,25.0,40.0,2476.3,2.0,1.0,1.0,1.0,45.05,20.0,2476.3,10.0
2019-01-04 03:00:00,25.0,1.0,1.0,25.0,40.0,2497.55,2.0,1.0,1.0,1.0,45.05,20.0,2497.55,10.0
2019-01-04 04:00:00,25.0,1.0,1.0,25.0,40.0,2552.15,2.0,1.0,1.0,1.0,45.05,20.0,2552.15,10.0
2019-01-04 05:00:00,25.0,1.0,1.0,25.0,40.0,2668.9,2.0,1.0,1.0,1.0,45.05,20.0,2668.9,10.0
2019-01-04 06:00:00,25.0,1.0,1.0,25.0,40.0,2914.55,2.0,1.0,1.0,1.0,45.05,20.0,2914.55,10.0
2019-01-04 07:00:00,25.0,1.0,1.0,25.0,40.0,3181.35,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3181.35,10.0
2019-01-04 08:00:00,25.0,1.0,1.0,25.0,40.0,3341.15,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3341.15,10.0
2019-01-04 09:00:00,25.0,1.0,1.0,25.0,40.0,3417.55,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3417.55,10.0
2019-01-04 10:00:00,25.0,1.0,1.0,25.0,40.0,3453.35,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3453.35,10.0
2019-01-04 11:00:00,25.0,1.0,1.0,25.0,40.0,3484.95,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3484.95,10.0
2019-01-04 12:00:00,25.0,1.0,1.0,25.0,40.0,3513.4,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3513.4,10.0
2019-01-04 13:00:00,25.0,1.0,1.0,25.0,40.0,3452.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3452.75,10.0
2019-01-04 14:00:00,25.0,1.0,1.0,25.0,40.0,3362.3,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3362.3,10.0
2019-01-04 15:00:00,25.0,1.0,1.0,25.0,40.0,3327.9,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3327.9,10.0
2019-01-04 16:00:00,25.0,1.0,1.0,25.0,40.0,3391.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3391.75,10.0
2019-01-04 17:00:00,25.0,1.0,1.0,25.0,40.0,3496.3,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3496.3,10.0
2019-01-04 18:00:00,25.0,1.0,1.0,25.0,40.0,3464.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3464.75,10.0
2019-01-04 19:00:00,25.0,1.0,1.0,25.0,40.0,3365.9,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3365.9,10.0
2019-01-04 20:00:00,25.0,1.0,1.0,25.0,40.0,3167.05,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3167.05,10.0
2019-01-04 21:00:00,25.0,1.0,1.0,25.0,40.0,3016.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3016.75,10.0
2019-01-04 22:00:00,25.0,1.0,1.0,25.0,40.0,2924.35,2.0,1.0,1.0,1.0,45.05,20.0,2924.35,10.0
2019-01-04 23:00:00,25.0,1.0,1.0,25.0,40.0,2724.7,2.0,1.0,1.0,1.0,45.05,20.0,2724.7,10.0
2019-01-05 00:00:00,25.0,1.0,1.0,25.0,40.0,2582.8,2.0,1.0,1.0,1.0,45.05,20.0,2582.8,10.0
2019-01-05 01:00:00,25.0,1.0,1.0,25.0,40.0,2465.75,2.0,1.0,1.0,1.0,45.05,20.0,2465.75,10.0
2019-01-05 02:00:00,25.0,1.0,1.0,25.0,40.0,2401.5,2.0,1.0,1.0,1.0,45.05,20.0,2401.5,10.0
2019-01-05 03:00:00,25.0,1.0,1.0,25.0,40.0,2377.75,2.0,1.0,1.0,1.0,45.05,20.0,2377.75,10.0
2019-01-05 04:00:00,25.0,1.0,1.0,25.0,40.0,2381.7,2.0,1.0,1.0,1.0,45.05,20.0,2381.7,10.0
2019-01-05 05:00:00,25.0,1.0,1.0,25.0,40.0,2385.1,2.0,1.0,1.0,1.0,45.05,20.0,2385.1,10.0
2019-01-05 06:00:00,25.0,1.0,1.0,25.0,40.0,2416.5,2.0,1.0,1.0,1.0,45.05,20.0,2416.5,10.0
2019-01-05 07:00:00,25.0,1.0,1.0,25.0,40.0,2538.05,2.0,1.0,1.0,1.0,45.05,20.0,2538.05,10.0
2019-01-05 08:00:00,25.0,1.0,1.0,25.0,40.0,2715.3,2.0,1.0,1.0,1.0,45.05,20.0,2715.3,10.0
2019-01-05 09:00:00,25.0,1.0,1.0,25.0,40.0,2879.6,2.0,1.0,1.0,1.0,45.05,20.0,2879.6,10.0
2019-01-05 10:00:00,25.0,1.0,1.0,25.0,40.0,2985.6,2.0,1.0,1.0,1.0,45.05,20.0,2985.6,10.0
2019-01-05 11:00:00,25.0,1.0,1.0,25.0,40.0,3046.05,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3046.05,10.0
2019-01-05 12:00:00,25.0,1.0,1.0,25.0,40.0,3039.6,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3039.6,10.0
2019-01-05 13:00:00,25.0,1.0,1.0,25.0,40.0,2975.9,2.0,1.0,1.0,1.0,45.05,20.0,2975.9,10.0
2019-01-05 14:00:00,25.0,1.0,1.0,25.0,40.0,2923.65,2.0,1.0,1.0,1.0,45.05,20.0,2923.65,10.0
2019-01-05 15:00:00,25.0,1.0,1.0,25.0,40.0,2901.85,2.0,1.0,1.0,1.0,45.05,20.0,2901.85,10.0
2019-01-05 16:00:00,25.0,1.0,1.0,25.0,40.0,2952.7,2.0,1.0,1.0,1.0,45.05,20.0,2952.7,10.0
2019-01-05 17:00:00,25.0,1.0,1.0,25.0,40.0,3094.45,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3094.45,10.0
2019-01-05 18:00:00,25.0,1.0,1.0,25.0,40.0,3096.85,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3096.85,10.0
2019-01-05 19:00:00,25.0,1.0,1.0,25.0,40.0,3005.0,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3005.0,10.0
2019-01-05 20:00:00,25.0,1.0,1.0,25.0,40.0,2814.35,2.0,1.0,1.0,1.0,45.05,20.0,2814.35,10.0
2019-01-05 21:00:00,25.0,1.0,1.0,25.0,40.0,2696.8,2.0,1.0,1.0,1.0,45.05,20.0,2696.8,10.0
2019-01-05 22:00:00,25.0,1.0,1.0,25.0,40.0,2644.85,2.0,1.0,1.0,1.0,45.05,20.0,2644.85,10.0
2019-01-05 23:00:00,25.0,1.0,1.0,25.0,40.0,2496.0,2.0,1.0,1.0,1.0,45.05,20.0,2496.0,10.0
2019-01-06 00:00:00,25.0,1.0,1.0,25.0,40.0,2330.15,2.0,1.0,1.0,1.0,45.05,20.0,2330.15,10.0
2019-01-06 01:00:00,25.0,1.0,1.0,25.0,40.0,2227.3,2.0,1.0,1.0,1.0,45.05,20.0,2227.3,10.0
2019-01-06 02:00:00,25.0,1.0,1.0,25.0,40.0,2160.5,2.0,1.0,1.0,1.0,45.05,20.0,2160.5,10.0
2019-01-06 03:00:00,25.0,1.0,1.0,25.0,40.0,2152.2,2.0,1.0,1.0,1.0,45.05,20.0,2152.2,10.0
2019-01-06 04:00:00,25.0,1.0,1.0,25.0,40.0,2154.3,2.0,1.0,1.0,1.0,45.05,20.0,2154.3,10.0
2019-01-06 05:00:00,25.0,1.0,1.0,25.0,40.0,2132.85,2.0,1.0,1.0,1.0,45.05,20.0,2132.85,10.0
2019-01-06 06:00:00,25.0,1.0,1.0,25.0,40.0,2112.85,2.0,1.0,1.0,1.0,45.05,20.0,2112.85,10.0
2019-01-06 07:00:00,25.0,1.0,1.0,25.0,40.0,2167.55,2.0,1.0,1.0,1.0,45.05,20.0,2167.55,10.0
2019-01-06 08:00:00,25.0,1.0,1.0,25.0,40.0,2297.35,2.0,1.0,1.0,1.0,45.05,20.0,2297.35,10.0
2019-01-06 09:00:00,25.0,1.0,1.0,25.0,40.0,2472.95,2.0,1.0,1.0,1.0,45.05,20.0,2472.95,10.0
2019-01-06 10:00:00,25.0,1.0,1.0,25.0,40.0,2622.1,2.0,1.0,1.0,1.0,45.05,20.0,2622.1,10.0
2019-01-06 11:00:00,25.0,1.0,1.0,25.0,40.0,2750.0,2.0,1.0,1.0,1.0,45.05,20.0,2750.0,10.0
2019-01-06 12:00:00,25.0,1.0,1.0,25.0,40.0,2773.15,2.0,1.0,1.0,1.0,45.05,20.0,2773.15,10.0
2019-01-06 13:00:00,25.0,1.0,1.0,25.0,40.0,2704.3,2.0,1.0,1.0,1.0,45.05,20.0,2704.3,10.0
2019-01-06 14:00:00,25.0,1.0,1.0,25.0,40.0,2673.75,2.0,1.0,1.0,1.0,45.05,20.0,2673.75,10.0
2019-01-06 15:00:00,25.0,1.0,1.0,25.0,40.0,2635.45,2.0,1.0,1.0,1.0,45.05,20.0,2635.45,10.0
2019-01-06 16:00:00,25.0,1.0,1.0,25.0,40.0,2722.9,2.0,1.0,1.0,1.0,45.05,20.0,2722.9,10.0
2019-01-06 17:00:00,25.0,1.0,1.0,25.0,40.0,2898.1,2.0,1.0,1.0,1.0,45.05,20.0,2898.1,10.0
2019-01-06 18:00:00,25.0,1.0,1.0,25.0,40.0,2943.5,2.0,1.0,1.0,1.0,45.05,20.0,2943.5,10.0
2019-01-06 19:00:00,25.0,1.0,1.0,25.0,40.0,2864.6,2.0,1.0,1.0,1.0,45.05,20.0,2864.6,10.0
2019-01-06 20:00:00,25.0,1.0,1.0,25.0,40.0,2747.65,2.0,1.0,1.0,1.0,45.05,20.0,2747.65,10.0
2019-01-06 21:00:00,25.0,1.0,1.0,25.0,40.0,2670.0,2.0,1.0,1.0,1.0,45.05,20.0,2670.0,10.0
2019-01-06 22:00:00,25.0,1.0,1.0,25.0,40.0,2636.2,2.0,1.0,1.0,1.0,45.05,20.0,2636.2,10.0
2019-01-06 23:00:00,25.0,1.0,1.0,25.0,40.0,2501.95,2.0,1.0,1.0,1.0,45.05,20.0,2501.95,10.0
2019-01-07 00:00:00,25.0,1.0,1.0,25.0,40.0,2353.4,2.0,1.0,1.0,1.0,45.05,20.0,2353.4,10.0
2019-01-07 01:00:00,25.0,1.0,1.0,25.0,40.0,2265.65,2.0,1.0,1.0,1.0,45.05,20.0,2265.65,10.0
2019-01-07 02:00:00,25.0,1.0,1.0,25.0,40.0,2241.7,2.0,1.0,1.0,1.0,45.05,20.0,2241.7,10.0
2019-01-07 03:00:00,25.0,1.0,1.0,25.0,40.0,2275.5,2.0,1.0,1.0,1.0,45.05,20.0,2275.5,10.0
2019-01-07 04:00:00,25.0,1.0,1.0,25.0,40.0,2367.8,2.0,1.0,1.0,1.0,45.05,20.0,2367.8,10.0
2019-01-07 05:00:00,25.0,1.0,1.0,25.0,40.0,2585.05,2.0,1.0,1.0,1.0,45.05,20.0,2585.05,10.0
2019-01-07 06:00:00,25.0,1.0,1.0,25.0,40.0,3015.7,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3015.7,10.0
2019-01-07 07:00:00,25.0,1.0,1.0,25.0,40.0,3331.45,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3331.45,10.0
2019-01-07 08:00:00,25.0,1.0,1.0,25.0,40.0,3464.15,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3464.15,10.0
2019-01-07 09:00:00,25.0,1.0,1.0,25.0,40.0,3478.2,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3478.2,10.0
2019-01-07 10:00:00,25.0,1.0,1.0,25.0,40.0,3542.6,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3542.6,10.0
2019-01-07 11:00:00,25.0,1.0,1.0,25.0,40.0,3589.3,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3589.3,10.0
2019-01-07 12:00:00,25.0,1.0,1.0,25.0,40.0,3585.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3585.75,10.0
2019-01-07 13:00:00,25.0,1.0,1.0,25.0,40.0,3587.6,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3587.6,10.0
2019-01-07 14:00:00,25.0,1.0,1.0,25.0,40.0,3570.95,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3570.95,10.0
2019-01-07 15:00:00,25.0,1.0,1.0,25.0,40.0,3572.1,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3572.1,10.0
2019-01-07 16:00:00,25.0,1.0,1.0,25.0,40.0,3625.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3625.75,10.0
2019-01-07 17:00:00,25.0,1.0,1.0,25.0,40.0,3734.0,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3734.0,10.0
2019-01-07 18:00:00,25.0,1.0,1.0,25.0,40.0,3691.5,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3691.5,10.0
2019-01-07 19:00:00,25.0,1.0,1.0,25.0,40.0,3595.65,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3595.65,10.0
2019-01-07 20:00:00,25.0,1.0,1.0,25.0,40.0,3428.9,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3428.9,10.0
2019-01-07 21:00:00,25.0,1.0,1.0,25.0,40.0,3276.45,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3276.45,10.0
2019-01-07 22:00:00,25.0,1.0,1.0,25.0,40.0,3114.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3114.75,10.0
2019-01-07 23:00:00,25.0,1.0,1.0,25.0,40.0,2918.1,2.0,1.0,1.0,1.0,45.05,20.0,2918.1,10.0
2019-01-08 00:00:00,25.0,1.0,1.0,25.0,40.0,2726.35,2.0,1.0,1.0,1.0,45.05,20.0,2726.35,10.0
2019-01-08 01:00:00,25.0,1.0,1.0,25.0,40.0,2637.75,2.0,1.0,1.0,1.0,45.05,20.0,2637.75,10.0
2019-01-08 02:00:00,25.0,1.0,1.0,25.0,40.0,2594.5,2.0,1.0,1.0,1.0,45.05,20.0,2594.5,10.0
2019-01-08 03:00:00,25.0,1.0,1.0,25.0,40.0,2623.85,2.0,1.0,1.0,1.0,45.05,20.0,2623.85,10.0
2019-01-08 04:00:00,25.0,1.0,1.0,25.0,40.0,2704.8500000000004,2.0,1.0,1.0,1.0,45.05,20.0,2704.8500000000004,10.0
2019-01-08 05:00:00,25.0,1.0,1.0,25.0,40.0,2874.4,2.0,1.0,1.0,1.0,45.05,20.0,2874.4,10.0
2019-01-08 06:00:00,25.0,1.0,1.0,25.0,40.0,3236.3,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3236.3,10.0
2019-01-08 07:00:00,25.0,1.0,1.0,25.0,40.0,3550.7,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3550.7,10.0
2019-01-08 08:00:00,25.0,1.0,1.0,25.0,40.0,3672.35,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3672.35,10.0
2019-01-08 09:00:00,25.0,1.0,1.0,25.0,40.0,3677.75,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3677.75,10.0
2019-01-08 10:00:00,25.0,1.0,1.0,25.0,40.0,3709.45,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3709.45,10.0
2019-01-08 11:00:00,25.0,1.0,1.0,25.0,40.0,3739.6,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3739.6,10.0
2019-01-08 12:00:00,25.0,1.0,1.0,25.0,40.0,3727.7,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3727.7,10.0
2019-01-08 13:00:00,25.0,1.0,1.0,25.0,40.0,3717.7,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3717.7,10.0
2019-01-08 14:00:00,25.0,1.0,1.0,25.0,40.0,3678.4,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3678.4,10.0
2019-01-08 15:00:00,25.0,1.0,1.0,25.0,40.0,3658.05,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3658.05,10.0
2019-01-08 16:00:00,25.0,1.0,1.0,25.0,40.0,3695.4,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3695.4,10.0
2019-01-08 17:00:00,25.0,1.0,1.0,25.0,40.0,3790.15,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3790.15,10.0
2019-01-08 18:00:00,25.0,1.0,1.0,25.0,40.0,3763.35,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3763.35,10.0
2019-01-08 19:00:00,25.0,1.0,1.0,25.0,40.0,3674.5,2.0,1.0,1.0,1.0,53.50000000000001,20.0,3674.5,10.0
