name,technology,bidding_EOM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_costs,warm_start_costs,cold_start_costs,min_operating_time,min_down_time,node,unit_operator,operating_type,,,,,
Unit_30,Steam turbine,naive_eom,,lignite,0.4,7.2,1.44,0.356570393,5.76,5.76,1.65,30.4,47.5,69.3,10,7,11,pp_operator_30,Grid reserve,,,,,
Unit_31,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,34.8,6.96,0.302244465,27.84,27.84,1.65,30.4,47.5,69.3,10,7,11,pp_operator_31,Market,,,,,
Unit_32,Small gas,naive_eom,,natural gas,0.2,6.232,1.2464,0.364489377,4.9856,4.9856,5.5,24.1,34.2,46.7,5,3,11,pp_operator_32,Grid reserve,,,,,
Unit_33,Small gas,naive_eom,naive_redispatch,natural gas,0.2,658.99085,131.79817,0.419252753,527.19268,527.19268,5.5,24.1,34.2,46.7,5,3,11,pp_operator_33,Market,,,,,
Unit_34,Small oil,naive_eom,naive_redispatch,oil,0.25,49.4672,9.89344,0.383967155,39.57376,39.57376,5.5,30.4,47.5,69.3,7,6,11,pp_operator_34,Market,,,,,
Unit_369,Steam turbine,naive_eom,naive_redispatch,waste,0,50,10,0.33,40,40,1.65,30.4,47.5,69.3,10,7,12,pp_operator_369,Market,,,,,
Unit_36,Small gas,naive_eom,naive_redispatch,natural gas,0.2,86.489,17.2978,0.411787185,69.1912,69.1912,5.5,24.1,34.2,46.7,5,3,79,pp_operator_36,Market,,,,,
Unit_37,Small oil,naive_eom,naive_redispatch,oil,0.25,11.11,2.222,0.4469,8.888,8.888,5.5,30.4,47.5,69.3,7,6,79,pp_operator_37,Market,,,,,
Unit_320,Steam turbine,naive_eom,naive_redispatch,waste,0,54,10.8,0.33,43.2,43.2,1.65,30.4,47.5,69.3,10,7,175,pp_operator_320,Market,,,,,
Unit_39,Small gas,naive_eom,naive_redispatch,natural gas,0.2,43.81,8.762,0.443261118,35.048,35.048,5.5,24.1,34.2,46.7,5,3,122,pp_operator_39,Market,,,,,
Unit_40,Small oil,naive_eom,naive_redispatch,oil,0.25,34.86,6.972,0.3332,27.888,27.888,5.5,30.4,47.5,69.3,7,6,122,pp_operator_40,Market,,,,,
Unit_52,Steam turbine,naive_eom,naive_redispatch,waste,0,55.36201,11.072402,0.33,44.289608,44.289608,1.65,30.4,47.5,69.3,10,7,96,pp_operator_52,Market,,,,,
Unit_42,Small gas,naive_eom,naive_redispatch,natural gas,0.2,58.378,11.6756,0.482481487,46.7024,46.7024,5.5,24.1,34.2,46.7,5,3,2,pp_operator_42,Market,,,,,
Unit_43,Small oil,naive_eom,naive_redispatch,oil,0.25,17.1,3.42,0.435,13.68,13.68,5.5,30.4,47.5,69.3,7,6,2,pp_operator_43,Market,,,,,
Unit_362,Steam turbine,naive_eom,naive_redispatch,waste,0,61.5,12.3,0.33,49.2,49.2,1.65,30.4,47.5,69.3,10,7,29,pp_operator_362,Market,,,,,
Unit_45,Steam turbine,naive_eom,,lignite,0.4,8.8,1.76,0.388792931,7.04,7.04,1.65,30.4,47.5,69.3,10,7,175,pp_operator_45,Grid reserve,,,,,
Unit_46,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,72.3,14.46,0.363972262,57.84,57.84,1.65,30.4,47.5,69.3,10,7,175,pp_operator_46,Market,,,,,
Unit_47,Small gas,naive_eom,naive_redispatch,natural gas,0.2,166.392,33.2784,0.438961106,133.1136,133.1136,5.5,24.1,34.2,46.7,5,3,175,pp_operator_47,Market,,,,,
Unit_21,Steam turbine,naive_eom,naive_redispatch,waste,0,62.099,12.4198,0.33,49.6792,49.6792,1.65,30.4,47.5,69.3,10,7,40,pp_operator_21,Market,,,,,
Unit_49,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,23.65,4.73,0.37987921,18.92,18.92,1.3,30.4,47.5,69.3,7,6,96,pp_operator_49,Market,,,,,
Unit_50,Small gas,naive_eom,naive_redispatch,natural gas,0.2,38.577,7.7154,0.397015068,30.8616,30.8616,5.5,24.1,34.2,46.7,5,3,96,pp_operator_50,Market,,,,,
Unit_51,Small oil,naive_eom,naive_redispatch,oil,0.25,52.446,10.4892,0.388703533,41.9568,41.9568,5.5,30.4,47.5,69.3,7,6,96,pp_operator_51,Market,,,,,
Unit_356,Steam turbine,naive_eom,naive_redispatch,waste,0,62.8,12.56,0.33,50.24,50.24,1.65,30.4,47.5,69.3,10,7,27,pp_operator_356,Market,,,,,
Unit_53,Small gas,naive_eom,naive_redispatch,natural gas,0.2,78.813,15.7626,0.424673541,63.0504,63.0504,5.5,24.1,34.2,46.7,5,3,128,pp_operator_53,Market,,,,,
Unit_348,Steam turbine,naive_eom,naive_redispatch,waste,0,64,12.8,0.33,51.2,51.2,1.65,30.4,47.5,69.3,10,7,93,pp_operator_348,Market,,,,,
Unit_55,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,78.302,15.6604,0.431877802,62.6416,62.6416,5.5,24.1,34.2,46.7,5,3,97,pp_operator_55,Market,,,,,
Unit_56,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,57,11.4,0.314204763,45.6,45.6,5.5,24.1,34.2,46.7,5,3,166,pp_operator_56,Market,,,,,
Unit_57,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,81,16.2,0.319107807,64.8,64.8,5.5,24.1,34.2,46.7,5,3,166,pp_operator_57,Market,,,,,
Unit_58,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,323,64.6,0.423280057,258.4,258.4,1.3,30.4,47.5,69.3,7,6,166,pp_operator_58,Market,,,,,
Unit_59,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,65,13,0.373041282,52,52,5.5,24.1,34.2,46.7,5,3,166,pp_operator_59,Market,,,,,
Unit_60,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,628,125.6,0.345062344,502.4,502.4,1.65,30.4,47.5,69.3,10,7,3,pp_operator_60,Market,,,,,
Unit_61,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,648,129.6,0.345062344,518.4,518.4,1.65,30.4,47.5,69.3,10,7,3,pp_operator_61,Market,,,,,
Unit_62,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,944,188.8,0.411809029,755.2,755.2,1.65,30.4,47.5,69.3,10,7,3,pp_operator_62,Market,,,,,
Unit_63,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,115,23,0.624707296,92,92,5.5,24.1,34.2,46.7,5,3,58,pp_operator_63,Market,,,,,
Unit_64,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,185,37,0.624707296,148,148,5.5,24.1,34.2,46.7,5,3,58,pp_operator_64,Market,,,,,
Unit_65,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,189.5,37.9,0.628913126,151.6,151.6,5.5,24.1,34.2,46.7,5,3,15,pp_operator_65,Market,,,,,
Unit_66,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,72,14.4,0.321559328,57.6,57.6,5.5,24.1,34.2,46.7,5,3,58,pp_operator_66,Market,,,,,
Unit_67,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,72,14.4,0.321559328,57.6,57.6,5.5,24.1,34.2,46.7,5,3,58,pp_operator_67,Market,,,,,
Unit_68,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,52,10.4,0.364489377,41.6,41.6,5.5,24.1,34.2,46.7,5,3,15,pp_operator_68,Market,,,,,
Unit_69,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,56,11.2,0.364489377,44.8,44.8,5.5,24.1,34.2,46.7,5,3,15,pp_operator_69,Market,,,,,
Unit_70,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,56,11.2,0.365579425,44.8,44.8,5.5,24.1,34.2,46.7,5,3,15,pp_operator_70,Market,,,,,
Unit_71,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,116,23.2,0.381930147,92.8,92.8,5.5,24.1,34.2,46.7,5,3,15,pp_operator_71,Market,,,,,
Unit_72,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,164,32.8,0.373041282,131.2,131.2,5.5,24.1,34.2,46.7,5,3,15,pp_operator_72,Market,,,,,
Unit_73,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,164,32.8,0.373041282,131.2,131.2,5.5,24.1,34.2,46.7,5,3,15,pp_operator_73,Market,,,,,
Unit_74,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,89,17.8,0.40791401,71.2,71.2,1.3,30.4,47.5,69.3,7,6,58,pp_operator_74,Market,,,,,
Unit_75,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,282,56.4,0.401328561,225.6,225.6,1.3,30.4,47.5,69.3,7,6,58,pp_operator_75,Market,,,,,
Unit_76,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,282,56.4,0.40352371,225.6,225.6,1.3,30.4,47.5,69.3,7,6,58,pp_operator_76,Market,,,,,
Unit_77,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,58.5,11.7,0.624707296,46.8,46.8,5.5,24.1,34.2,46.7,5,3,175,pp_operator_77,Market,,,,,
Unit_78,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,63.5,12.7,0.628913126,50.8,50.8,5.5,24.1,34.2,46.7,5,3,175,pp_operator_78,Market,,,,,
Unit_79,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,108,21.6,0.544796527,86.4,86.4,5.5,24.1,34.2,46.7,5,3,117,pp_operator_79,Market,,,,,
Unit_80,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,50,10,0.370589761,40,40,5.5,24.1,34.2,46.7,5,3,117,pp_operator_80,Market,,,,,
Unit_81,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,73.5,14.7,0.599472316,58.8,58.8,5.5,24.1,34.2,46.7,5,3,158,pp_operator_81,Market,,,,,
Unit_82,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,500,100,0.356570393,400,400,1.65,30.4,47.5,69.3,10,7,31,pp_operator_82,Market,,,,,
Unit_83,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,500,100,0.358872003,400,400,1.65,30.4,47.5,69.3,10,7,31,pp_operator_83,Market,,,,,
Unit_84,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,840,168,0.4049042,672,672,1.65,30.4,47.5,69.3,10,7,31,pp_operator_84,Market,,,,,
Unit_85,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,630,126,0.432523517,504,504,1.65,30.4,47.5,69.3,10,7,31,pp_operator_85,Market,,,,,
Unit_86,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,56,11.2,0.378660003,44.8,44.8,5.5,24.1,34.2,46.7,5,3,115,pp_operator_86,Market,,,,,
Unit_87,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,60,12,0.519561547,48,48,5.5,24.1,34.2,46.7,5,3,115,pp_operator_87,Market,,,,,
Unit_88,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,60,12,0.519561547,48,48,5.5,24.1,34.2,46.7,5,3,115,pp_operator_88,Market,,,,,
Unit_89,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,68.41,13.682,0.436780845,54.728,54.728,5.5,24.1,34.2,46.7,5,3,8,pp_operator_89,Market,,,,,
Unit_90,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,98.1,19.62,0.641530616,78.48,78.48,5.5,24.1,34.2,46.7,5,3,8,pp_operator_90,Market,,,,,
Unit_91,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,444.5,88.9,0.603678146,355.6,355.6,5.5,24.1,34.2,46.7,5,3,167,pp_operator_91,Market,,,,,
Unit_92,Combustion Engine,naive_eom,naive_redispatch,natural gas,0.2,105.978,21.1956,0.4742,0,0,5.5,24.1,34.2,46.7,5,3,167,pp_operator_92,Market,,,,,
Unit_93,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,119,23.8,0.40571886,95.2,95.2,1.3,30.4,47.5,69.3,7,6,167,pp_operator_93,Market,,,,,
Unit_94,Gas turbine,naive_eom,naive_redispatch,natural gas,0.25,86,17.2,0.315,68.8,68.8,5.5,24.1,34.2,46.7,5,3,167,pp_operator_94,Market,,,,,
Unit_95,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,137,27.4,0.382847369,109.6,109.6,5.5,24.1,34.2,46.7,5,3,196,pp_operator_95,Market,,,,,
Unit_96,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,72.46,14.492,0.349228703,57.968,57.968,5.5,24.1,34.2,46.7,5,3,196,pp_operator_96,Market,,,,,
Unit_97,Combustion Engine,naive_eom,naive_redispatch,natural gas,0.2,53.481,10.6962,0.4728,0,0,5.5,24.1,34.2,46.7,5,3,61,pp_operator_97,Market,,,,,
Unit_98,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,1052,210.4,0.4737685,841.6,841.6,1.3,30.4,47.5,69.3,7,6,98,pp_operator_98,Market,,,,,
Unit_99,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,194,38.8,0.385200291,155.2,155.2,5.5,24.1,34.2,46.7,5,3,135,pp_operator_99,Market,,,,,
Unit_100,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,184,36.8,0.380395847,147.2,147.2,5.5,24.1,34.2,46.7,5,3,135,pp_operator_100,Market,,,,,
Unit_101,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,184,36.8,0.380395847,147.2,147.2,5.5,24.1,34.2,46.7,5,3,135,pp_operator_101,Market,,,,,
Unit_102,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,58.681,11.7362,0.637324786,46.9448,46.9448,5.5,24.1,34.2,46.7,5,3,43,pp_operator_102,Market,,,,,
Unit_103,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,74,14.8,0.379750051,59.2,59.2,5.5,24.1,34.2,46.7,5,3,22,pp_operator_103,Market,,,,,
Unit_104,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,62,12.4,0.523767377,49.6,49.6,5.5,24.1,34.2,46.7,5,3,22,pp_operator_104,Market,,,,,
Unit_105,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,62,12.4,0.523767377,49.6,49.6,5.5,24.1,34.2,46.7,5,3,22,pp_operator_105,Market,,,,,
Unit_106,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,62,12.4,0.523767377,49.6,49.6,5.5,24.1,34.2,46.7,5,3,22,pp_operator_106,Market,,,,,
Unit_107,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,75.2,15.04,0.390201934,60.16,60.16,5.5,24.1,34.2,46.7,5,3,139,pp_operator_107,Market,,,,,
Unit_108,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,75.2,15.04,0.390201934,60.16,60.16,5.5,24.1,34.2,46.7,5,3,139,pp_operator_108,Market,,,,,
Unit_109,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,84,16.8,0.390650532,67.2,67.2,5.5,24.1,34.2,46.7,5,3,139,pp_operator_109,Market,,,,,
Unit_110,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,725,145,0.458402452,580,580,1.3,30.4,47.5,69.3,7,6,156,pp_operator_110,Market,,,,,
Unit_111,Gas turbine,naive_eom,naive_redispatch,natural gas,0.25,86.2,17.24,0.3072,68.96,68.96,5.5,24.1,34.2,46.7,5,3,135,pp_operator_111,Market,,,,,
Unit_112,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,100,20,0.544796527,80,80,5.5,24.1,34.2,46.7,5,3,135,pp_operator_112,Market,,,,,
Unit_113,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,66.7,13.34,0.316656285,53.36,53.36,5.5,24.1,34.2,46.7,5,3,135,pp_operator_113,Market,,,,,
Unit_114,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,64.7,12.94,0.319107807,51.76,51.76,5.5,24.1,34.2,46.7,5,3,135,pp_operator_114,Market,,,,,
Unit_115,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,595,119,0.612089806,476,476,5.5,24.1,34.2,46.7,5,3,135,pp_operator_115,Market,,,,,
Unit_116,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,61.6,12.32,0.35132835,49.28,49.28,5.5,24.1,34.2,46.7,5,3,61,pp_operator_116,Market,,,,,
Unit_117,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,321,64.2,0.326462372,256.8,256.8,5.5,24.1,34.2,46.7,5,3,6,pp_operator_117,Market,,,,,
Unit_118,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,75.185,15.037,0.616295636,60.148,60.148,5.5,24.1,34.2,46.7,5,3,145,pp_operator_118,Market,,,,,
Unit_119,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,433,86.6,0.431239119,346.4,346.4,5.5,24.1,34.2,46.7,5,3,163,pp_operator_119,Market,,,,,
Unit_120,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,112.719,22.5438,0.35974001,90.1752,90.1752,5.5,24.1,34.2,46.7,5,3,0,pp_operator_120,Market,,,,,
Unit_121,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,321,64.2,0.328951076,256.8,256.8,1.65,30.4,47.5,69.3,10,7,88,pp_operator_121,Market,,,,,
Unit_122,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,663,132.6,0.345062344,530.4,530.4,1.65,30.4,47.5,69.3,10,7,88,pp_operator_122,Market,,,,,
Unit_123,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,200,40,0.39174058,160,160,5.5,24.1,34.2,46.7,5,3,88,pp_operator_123,Market,,,,,
Unit_124,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,656,131.2,0.347363954,524.8,524.8,1.65,30.4,47.5,69.3,10,7,88,pp_operator_124,Market,,,,,
Unit_125,Steam turbine,naive_eom,naive_redispatch,natural gas,0.2,200,40,0.39174058,160,160,5.5,24.1,34.2,46.7,5,3,88,pp_operator_125,Market,,,,,
Unit_126,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,50.1,10.02,0.419620193,40.08,40.08,5.5,24.1,34.2,46.7,5,3,107,pp_operator_126,Market,,,,,
Unit_127,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,60,12,0.434329323,48,48,5.5,24.1,34.2,46.7,5,3,107,pp_operator_127,Market,,,,,
Unit_323,Steam turbine,naive_eom,naive_redispatch,waste,0,65.1,13.02,0.33,52.08,52.08,1.65,30.4,47.5,69.3,10,7,167,pp_operator_323,Market,,,,,
Unit_129,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,92,18.4,0.434329323,73.6,73.6,5.5,24.1,34.2,46.7,5,3,54,pp_operator_129,Market,,,,,
Unit_130,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,92,18.4,0.434329323,73.6,73.6,5.5,24.1,34.2,46.7,5,3,54,pp_operator_130,Market,,,,,
Unit_131,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,53.6,10.72,0.557414017,42.88,42.88,5.5,24.1,34.2,46.7,5,3,54,pp_operator_131,Market,,,,,
Unit_132,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,70,14,0.565825677,56,56,5.5,24.1,34.2,46.7,5,3,54,pp_operator_132,Market,,,,,
Unit_133,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,61.5,12.3,0.40791401,49.2,49.2,1.3,30.4,47.5,69.3,7,6,100,pp_operator_133,Market,,,,,
Unit_134,Steam turbine,naive_eom,naive_redispatch,hard coal,0.3,61.5,12.3,0.40791401,49.2,49.2,1.3,30.4,47.5,69.3,7,6,100,pp_operator_134,Market,,,,,
Unit_135,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,110.755,22.151,0.365686718,88.604,88.604,5.5,24.1,34.2,46.7,5,3,100,pp_operator_135,Market,,,,,
Unit_136,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,56,11.2,0.317443027,44.8,44.8,1.65,30.4,47.5,69.3,10,7,135,pp_operator_136,Market,,,,,
Unit_137,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,52.93,10.586,0.645736446,42.344,42.344,5.5,24.1,34.2,46.7,5,3,125,pp_operator_137,Market,,,,,
Unit_138,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,52.93,10.586,0.645736446,42.344,42.344,5.5,24.1,34.2,46.7,5,3,125,pp_operator_138,Market,,,,,
Unit_139,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,1060,212,0.432523517,848,848,1.65,30.4,47.5,69.3,10,7,3,pp_operator_139,Market,,,,,
Unit_140,Steam turbine,naive_eom,naive_redispatch,lignite,0.4,1060,212,0.432523517,848,848,1.65,30.4,47.5,69.3,10,7,3,pp_operator_140,Market,,,,,
Unit_141,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,126,25.2,0.333816936,100.8,100.8,5.5,24.1,34.2,46.7,5,3,157,pp_operator_141,Market,,,,,
Unit_142,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,121,24.2,0.333816936,96.8,96.8,5.5,24.1,34.2,46.7,5,3,157,pp_operator_142,Market,,,,,
Unit_143,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,56.845,11.369,0.628913126,45.476,45.476,5.5,24.1,34.2,46.7,5,3,119,pp_operator_143,Market,,,,,
Unit_144,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,57.144,11.4288,0.628913126,45.7152,45.7152,5.5,24.1,34.2,46.7,5,3,119,pp_operator_144,Market,,,,,
Unit_145,Gas turbine,naive_eom,naive_redispatch,natural gas,0.2,57.322,11.4644,0.42942628,45.8576,45.8576,5.5,24.1,34.2,46.7,5,3,119,pp_operator_145,Market,,,,,
Unit_146,Combined cycle,naive_eom,naive_redispatch,natural gas,0.2,54.832533,10.9665066,0.519561547,43.8660264,43.8660264,5.5,24.1,34.2,46.7,5,3,119,pp_operator_146,Market,,,,,
