name,technology,fuel_type,bidding_EOM,bidding_redispatch,bidding_CRM_pos,bidding_CRM_neg,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,unit_operator,operating_type,node
Unit_10,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,189.5,66.325,0.628913126,189.5,189.5,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_11,Market,way/22973070-380
Unit_11,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,72,21.6,0.321559328,72,72,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_12,Market,way/46615737-380
Unit_12,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,72,21.6,0.321559328,72,72,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_13,Market,way/46615737-380
Unit_13,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,52,18.2,0.364489377,52,52,1.1,79.91328584,155.0912128,180.6799689,5,5,unit_operator_14,Market,way/22973052-220
Unit_14,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,56,19.6,0.364489377,56,56,1.1,79.91328584,155.0912128,180.6799689,5,5,unit_operator_15,Market,way/22973052-220
Unit_15,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,56,19.6,0.365579425,56,56,1.1,79.91328584,155.0912128,180.6799689,5,5,unit_operator_16,Market,way/22973052-220
Unit_16,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,116,40.6,0.381930147,116,116,1.1,79.91328584,155.0912128,180.6799689,5,5,unit_operator_17,Market,way/30954714-380
Unit_17,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,164,49.2,0.373041282,164,164,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_18,Market,way/30954714-380
Unit_18,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,164,49.2,0.373041282,164,164,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_19,Market,way/30954714-380
Unit_19,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,89,38.27,0.40791401,89,89,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_20,Market,way/46615737-380
Unit_20,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,282,121.26,0.401328561,282,282,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_21,Market,way/43163132-380
Unit_21,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,282,121.26,0.40352371,282,282,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_22,Market,way/43163132-380
Unit_22,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,108,37.8,0.544796527,108,108,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_23,Market,way/946025110-380
Unit_23,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,500,215,0.356570393,300,300,3.3,66.17157947,99.12699338,128.3131589,11,11,unit_operator_24,Market,DE99-380
Unit_24,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,500,215,0.358872003,450,450,3.3,59.17157947,79.55699338,115.7831589,9,9,unit_operator_25,Market,DE99-380
Unit_25,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,840,361.2,0.4049042,840,840,3.3,48.17157947,71.72699338,91.51315894,8,8,unit_operator_26,Market,DE99-380
Unit_26,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,630,270.9,0.432523517,630,630,3.3,48.17157947,71.72699338,91.51315894,8,8,unit_operator_27,Market,DE99-380
Unit_27,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,56,19.6,0.378660003,56,56,1.1,79.91328584,155.0912128,180.6799689,5,5,unit_operator_28,Market,way/40621568-220
Unit_28,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,60,21,0.519561547,60,60,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_29,Market,way/40621568-220
Unit_29,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,60,21,0.519561547,60,60,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_30,Market,way/40621568-220
Unit_30,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,68.41,20.523,0.436780845,68.41,68.41,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_31,Market,way/24272541-220
Unit_31,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,98.1,34.335,0.641530616,98.1,98.1,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_32,Market,way/24272541-220
Unit_32,gas engine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,105.978,31.7934,0.4742,105.978,105.978,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_33,Market,way/229565743-220
Unit_33,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,119,51.17,0.40571886,119,119,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_34,Market,way/229565743-220
Unit_34,oil,oil,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2808,86,30.1,0.315,86,86,1.1,28.32173763,40.32173763,44.88260644,1,1,unit_operator_35,Market,way/44717036-380
Unit_35,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,137,41.1,0.382847369,137,137,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_36,Market,way/91080806-220
Unit_36,gas engine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,53.481,16.0443,0.4728,53.481,53.481,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_37,Market,DE58-380
Unit_37,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,1052,452.36,0.4737685,1052,1052,3.3,91.8685572,146.6360981,178.9071144,5,5,unit_operator_38,Market,way/275138524-380
Unit_38,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,194,67.9,0.385200291,194,194,1.1,74.91328584,132.3812128,169.7199689,5,5,unit_operator_39,Market,way/49577401-220
Unit_39,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,184,55.2,0.380395847,184,184,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_40,Market,way/49577401-220
Unit_40,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,184,55.2,0.380395847,184,184,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_41,Market,way/49577401-220
Unit_41,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,58.681,20.53835,0.637324786,58.681,58.681,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_42,Market,way/142487746-380
Unit_42,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,74,25.9,0.379750051,74,74,1.1,79.91328584,155.0912128,180.6799689,5,5,unit_operator_43,Market,way/942771541-380
Unit_43,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,62,21.7,0.523767377,62,62,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_44,Market,way/942771541-380
Unit_44,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,62,21.7,0.523767377,62,62,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_45,Market,way/942771541-380
Unit_45,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,62,21.7,0.523767377,62,62,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_46,Market,way/942771541-380
Unit_46,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,75.2,22.56,0.390201934,75.2,75.2,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_47,Market,way/92877635-220
Unit_47,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,75.2,22.56,0.390201934,75.2,75.2,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_48,Market,way/92877635-220
Unit_48,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,84,29.4,0.390650532,84,84,1.1,74.91328584,132.3812128,169.7199689,5,5,unit_operator_49,Market,way/92877635-220
Unit_49,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,725,311.75,0.458402452,725,725,3.3,91.8685572,146.6360981,178.9071144,5,5,unit_operator_50,Market,way/24478889-380
Unit_50,oil,oil,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2808,86.2,30.17,0.3072,86.2,86.2,1.1,28.32173763,40.32173763,44.88260644,1,1,unit_operator_51,Market,way/23140544-220
Unit_51,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,100,35,0.544796527,100,100,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_52,Market,way/31762305-220
Unit_52,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,66.7,20.01,0.316656285,66.7,66.7,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_53,Market,way/31762305-220
Unit_53,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,64.7,19.41,0.319107807,64.7,64.7,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_54,Market,way/31762305-220
Unit_54,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,595,208.25,0.612089806,595,595,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_55,Market,way/31762305-220
Unit_55,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,321,96.3,0.326462372,321,321,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_56,Market,way/42872354-220
Unit_56,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,75.185,26.31475,0.616295636,75.185,75.185,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_57,Market,way/24758329-380
Unit_57,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,433,151.55,0.431239119,433,433,1.6,90.76328584,159.7912128,190.0799689,3,3,unit_operator_58,Market,way/559702819-380
Unit_58,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,112.719,39.45165,0.35974001,112.719,112.719,1.6,90.76328584,159.7912128,190.0799689,3,3,unit_operator_59,Market,way/55069713-380
Unit_59,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,663,285.09,0.345062344,397.8,397.8,3.3,66.17157947,99.12699338,128.3131589,11,11,unit_operator_60,Market,way/25426571-380
Unit_60,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,200,70,0.39174058,200,200,1.1,74.91328584,132.3812128,169.7199689,5,5,unit_operator_61,Market,way/25426571-380
Unit_61,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,50.1,15.03,0.419620193,50.1,50.1,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_62,Market,way/449010725-380
Unit_62,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,60,18,0.434329323,60,60,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_63,Market,way/449010725-380
Unit_63,waste,waste,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0,71,28.4,0.33,71,71,0,0,0,0,8,8,unit_operator_64,Market,DE160-220
Unit_64,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,92,27.6,0.434329323,92,92,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_65,Market,DE160-220
Unit_65,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,92,27.6,0.434329323,92,92,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_66,Market,DE160-220
Unit_66,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,53.6,18.76,0.557414017,53.6,53.6,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_67,Market,DE160-220
Unit_67,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,70,24.5,0.565825677,70,70,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_68,Market,way/62061952-380
Unit_68,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,61.5,26.445,0.40791401,61.5,61.5,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_69,Market,way/62061952-380
Unit_69,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,61.5,26.445,0.40791401,61.5,61.5,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_70,Market,way/62061952-380
Unit_70,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,110.755,33.2265,0.365686718,110.755,110.755,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_71,Market,way/62061952-380
Unit_71,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,56,24.08,0.317443027,33.6,33.6,3.3,66.17157947,99.12699338,128.3131589,11,11,unit_operator_72,Market,way/23084554-220
Unit_72,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,52.93,18.5255,0.645736446,52.93,52.93,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_73,Market,way/38584673-220
Unit_73,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,52.93,18.5255,0.645736446,52.93,52.93,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_74,Market,way/38584673-220
Unit_74,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,1060,455.8,0.432523517,1060,1060,3.3,48.17157947,71.72699338,91.51315894,8,8,unit_operator_75,Market,way/24267175-220
Unit_75,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,1060,455.8,0.432523517,1060,1060,3.3,48.17157947,71.72699338,91.51315894,8,8,unit_operator_76,Market,way/24267175-220
Unit_76,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,126,37.8,0.333816936,126,126,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_77,Market,way/698870101-220
Unit_77,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,121,36.3,0.333816936,121,121,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_78,Market,way/698870101-220
Unit_78,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,56.845,19.89575,0.628913126,56.845,56.845,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_79,Market,DE103-380
Unit_79,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,57.144,20.0004,0.628913126,57.144,57.144,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_80,Market,DE103-380
Unit_80,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,57.322,17.1966,0.42942628,57.322,57.322,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_81,Market,DE103-380
Unit_81,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,54.832533,19.19138655,0.519561547,54.832533,54.832533,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_82,Market,DE103-380
Unit_82,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,127,44.45,0.582648997,127,127,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_83,Market,way/23583867-380
Unit_83,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,154,66.22,0.414499459,154,154,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_84,Market,way/23583867-380
Unit_84,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,407,142.45,0.574237337,407,407,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_85,Market,way/112695048-380
Unit_85,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,445,155.75,0.574237337,445,445,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_86,Market,way/112695048-380
Unit_86,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,136,58.48,0.40571886,136,136,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_87,Market,way/23816140-220
Unit_87,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,136,58.48,0.40571886,136,136,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_88,Market,way/23816140-220
Unit_88,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,78,23.4,0.370589761,78,78,1.6,32.82845297,54.75845297,55.90267945,1,1,unit_operator_89,Market,way/23816140-220
Unit_89,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,82,28.7,0.591060656,82,82,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_90,Market,way/23816140-220
Unit_90,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,70,24.5,0.582648997,70,70,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_91,Market,way/23816140-220
Unit_91,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,778,334.54,0.396938261,778,778,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_92,Market,way/1104947187-380
Unit_92,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,417,145.95,0.574237337,417,417,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_93,Market,DE96-220
Unit_93,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,657,229.95,0.637324786,657,657,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_94,Market,way/1076001174-220
Unit_94,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,460,197.8,0.40571886,460,460,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_95,Market,way/1076001174-220
Unit_95,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,280,98,0.574237337,280,280,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_96,Market,way/22765517-380
Unit_96,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,308,107.8,0.574237337,308,308,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_97,Market,way/22765517-380
Unit_97,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,308,107.8,0.574237337,308,308,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_98,Market,way/22765517-380
Unit_98,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,98,42.14,0.386491321,88.2,88.2,3.3,59.17157947,79.55699338,115.7831589,9,9,unit_operator_99,Market,way/22765517-380
Unit_99,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,63,27.09,0.386491321,56.7,56.7,3.3,59.17157947,79.55699338,115.7831589,9,9,unit_operator_100,Market,way/22765517-380
Unit_100,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,430,129,0.412265628,430,430,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_101,Market,way/22765517-380
Unit_101,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,59.8,20.93,0.276195478,59.8,59.8,1.1,79.91328584,155.0912128,180.6799689,5,5,unit_operator_102,Market,way/152107815-380
Unit_102,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,517,222.31,0.396938261,517,517,3.3,102.8685572,154.4660981,203.1771144,6,6,unit_operator_103,Market,way/152261133-380
Unit_103,hard coal,hard coal,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3384,834,358.62,0.460597602,834,834,3.3,91.8685572,146.6360981,178.9071144,5,5,unit_operator_104,Market,way/152261133-380
Unit_104,lignite,lignite,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.3636,75.3,32.379,0.427920298,75.3,75.3,3.3,48.17157947,71.72699338,91.51315894,8,8,unit_operator_105,Market,DE129-220
Unit_105,gas steam turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,147,51.45,0.390650532,147,147,1.1,74.91328584,132.3812128,169.7199689,5,5,unit_operator_106,Market,DE130-380
Unit_106,open cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,266,79.8,0.392653455,266,266,1.6,19.51845297,22.64845297,27.71267945,1,1,unit_operator_107,Market,DE130-380
Unit_107,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,108.2,37.87,0.561619847,108.2,108.2,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_108,Market,DE129-220
Unit_108,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,452.9,158.515,0.612089806,452.9,452.9,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_109,Market,way/1118059105-220
Unit_109,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,431,150.85,0.431239119,431,431,1.6,90.76328584,159.7912128,190.0799689,3,3,unit_operator_110,Market,way/27739871-380
Unit_110,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,63.54,22.239,0.527973207,63.54,63.54,1.6,74.32328584,130.0312128,172.8499689,3,3,unit_operator_111,Market,way/23161029-220
Unit_111,combined cycle gas turbine,natural gas,flexable_eom,naive_redispatch,flexable_pos_crm,flexable_neg_crm,0.2052,64.603,22.61105,0.586854826,64.603,64.603,1.6,68.84328584,112.0212128,147.0099689,2,2,unit_operator_112,Market,way/23161029-220
